x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.8129,-0.5882,0.0381
0.8109,-0.5852,0.0244
0.8100,-0.5901,0.0234
0.8149,-0.5960,0.0430
0.8129,-0.5960,0.0401
0.8149,-0.5901,0.0303
0.8109,-0.5882,0.0205
0.8139,-0.5872,0.0283
0.8139,-0.5892,0.0362
0.8041,-0.5823,0.0381
0.8109,-0.5843,0.0362
0.8168,-0.5882,0.0322
0.8188,-0.5862,0.0342
0.8109,-0.5823,0.0322
0.8051,-0.5852,0.0313
0.8149,-0.5892,0.0352
0.8168,-0.5882,0.0342
0.8168,-0.5804,0.0254
0.8061,-0.5882,0.0420
0.8061,-0.5901,0.0449
0.8178,-0.5852,0.0225
0.8149,-0.5794,0.0205
0.8149,-0.5852,0.0313
0.8149,-0.5892,0.0381
0.8149,-0.5813,0.0362
0.8129,-0.5852,0.0283
0.8061,-0.5852,0.0362
0.8129,-0.5872,0.0342
0.8100,-0.5843,0.0352
0.8178,-0.5872,0.0322
0.8188,-0.5882,0.0274
0.8197,-0.5843,0.0342
0.8158,-0.5872,0.0322
0.8070,-0.5843,0.0362
0.8139,-0.5862,0.0313
0.8188,-0.5843,0.0332
0.8109,-0.5882,0.0401
0.8168,-0.5862,0.0391
0.8109,-0.5823,0.0215
0.8158,-0.5872,0.0322
0.8129,-0.5892,0.0479
0.8139,-0.5823,0.0381
0.8197,-0.5794,0.0274
0.8109,-0.5804,0.0234
0.8100,-0.5843,0.0381
0.8139,-0.5852,0.0313
0.8207,-0.5833,0.0283
0.8158,-0.5843,0.0303
0.8129,-0.5882,0.0362
0.8119,-0.5882,0.0332
0.8149,-0.5843,0.0313
0.8197,-0.5862,0.0303
0.8197,-0.5823,0.0332
0.8080,-0.5774,0.0234
0.8080,-0.5823,0.0352
0.8109,-0.5892,0.0479
0.8129,-0.5901,0.0391
0.8100,-0.5852,0.0283
0.8197,-0.5862,0.0352
0.8227,-0.5901,0.0381
0.8041,-0.5843,0.0391
0.8100,-0.5784,0.0303
0.8207,-0.5813,0.0274
0.8149,-0.5852,0.0440
0.8188,-0.5892,0.0410
0.8236,-0.5794,0.0371
0.8197,-0.5784,0.0332
0.8149,-0.5804,0.0283
0.8090,-0.5833,0.0332
0.8129,-0.5823,0.0420
0.8149,-0.5843,0.0322
0.8197,-0.5911,0.0420
0.8129,-0.5862,0.0479
0.8207,-0.5862,0.0371
0.8109,-0.5823,0.0342
0.8109,-0.5862,0.0264
0.8100,-0.5862,0.0303
0.8236,-0.5872,0.0430
0.8080,-0.5833,0.0498
0.8129,-0.5862,0.0313
0.8139,-0.5813,0.0244
0.8149,-0.5823,0.0371
0.8188,-0.5882,0.0479
0.8266,-0.5852,0.0449
0.8236,-0.5804,0.0303
0.7982,-0.5755,0.0303
0.8002,-0.5852,0.0371
0.8080,-0.5882,0.0420
0.8266,-0.5901,0.0410
0.8188,-0.5892,0.0371
0.8158,-0.5872,0.0264
0.8051,-0.5862,0.0313
0.8061,-0.5843,0.0381
0.8119,-0.5843,0.0410
0.8207,-0.5833,0.0371
0.8207,-0.5833,0.0332
0.8100,-0.5843,0.0401
0.8109,-0.5872,0.0332
0.8109,-0.5862,0.0381
0.8149,-0.5931,0.0430
0.8188,-0.5921,0.0352
0.8100,-0.5833,0.0283
0.8139,-0.5852,0.0332
0.8158,-0.5882,0.0449
0.8168,-0.5882,0.0430
0.8041,-0.5774,0.0293
0.8070,-0.5823,0.0381
0.8080,-0.5843,0.0420
0.8178,-0.5862,0.0352
0.8178,-0.5833,0.0352
0.8149,-0.5862,0.0391
0.8100,-0.5882,0.0420
0.8051,-0.5852,0.0381
0.8188,-0.5882,0.0381
0.8246,-0.5921,0.0420
0.8168,-0.5901,0.0410
0.8158,-0.5882,0.0332
0.8021,-0.5862,0.0274
0.8070,-0.5862,0.0362
0.8178,-0.5911,0.0449
0.8207,-0.5882,0.0449
0.8227,-0.5872,0.0352
0.8061,-0.5794,0.0322
0.8129,-0.5794,0.0342
0.8139,-0.5882,0.0449
0.8168,-0.5862,0.0342
0.8090,-0.5823,0.0283
0.8080,-0.5813,0.0264
0.8139,-0.5833,0.0371
0.8149,-0.5852,0.0440
0.8100,-0.5843,0.0420
0.8129,-0.5862,0.0362
0.8100,-0.5804,0.0293
0.8178,-0.5852,0.0410
0.8139,-0.5892,0.0469
0.8285,-0.5862,0.0303
0.8256,-0.5794,0.0225
0.8315,-0.5765,0.0352
0.8373,-0.5823,0.0371
0.8481,-0.5784,0.0264
0.8422,-0.5745,0.0156
0.8412,-0.5755,0.0068
0.8324,-0.5784,0.0303
0.8188,-0.5823,0.0254
0.8090,-0.5833,0.0283
0.7943,-0.6116,0.0352
0.7865,-0.6243,0.0391
0.7846,-0.6282,0.0342
0.7914,-0.6370,0.0225
0.7797,-0.6351,0.0166
0.7807,-0.6282,0.0088
0.7816,-0.6282,0.0049
