x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.2980,-0.7181,-0.6615
0.3000,-0.7191,-0.6595
0.2951,-0.7152,-0.6605
0.2931,-0.7142,-0.6624
0.2921,-0.7162,-0.6615
0.2960,-0.7152,-0.6605
0.3000,-0.7152,-0.6654
0.2941,-0.7142,-0.6644
0.2960,-0.7171,-0.6585
0.2990,-0.7162,-0.6634
0.2912,-0.7142,-0.6693
0.2902,-0.7142,-0.6663
0.2941,-0.7181,-0.6595
0.2980,-0.7152,-0.6585
0.2970,-0.7142,-0.6615
0.2912,-0.7142,-0.6654
0.2912,-0.7152,-0.6654
0.2921,-0.7152,-0.6624
0.2931,-0.7132,-0.6585
0.2951,-0.7142,-0.6595
0.2960,-0.7132,-0.6654
0.2951,-0.7132,-0.6634
0.2990,-0.7152,-0.6634
0.3009,-0.7142,-0.6644
0.3000,-0.7132,-0.6693
0.2990,-0.7132,-0.6683
0.3009,-0.7152,-0.6663
0.3009,-0.7123,-0.6673
0.2980,-0.7093,-0.6615
0.2902,-0.7132,-0.6605
0.2902,-0.7152,-0.6624
0.2902,-0.7152,-0.6634
0.2902,-0.7152,-0.6585
0.2872,-0.7152,-0.6585
0.2921,-0.7171,-0.6575
0.2941,-0.7142,-0.6634
0.2960,-0.7132,-0.6663
0.3009,-0.7113,-0.6663
0.3019,-0.7123,-0.6683
0.3048,-0.7152,-0.6654
0.3019,-0.7132,-0.6673
0.3039,-0.7142,-0.6663
0.3029,-0.7123,-0.6615
0.2970,-0.7142,-0.6605
0.2990,-0.7142,-0.6634
0.2960,-0.7142,-0.6644
0.2951,-0.7162,-0.6624
0.2931,-0.7142,-0.6624
0.2970,-0.7113,-0.6663
0.2902,-0.7132,-0.6644
0.2872,-0.7142,-0.6624
0.2970,-0.7142,-0.6615
0.2951,-0.7113,-0.6634
0.2863,-0.7171,-0.6575
0.2921,-0.7191,-0.6585
0.3019,-0.7142,-0.6663
0.2980,-0.7152,-0.6644
0.2931,-0.7181,-0.6615
0.2980,-0.7191,-0.6585
0.3039,-0.7152,-0.6615
0.2970,-0.7152,-0.6644
0.2882,-0.7162,-0.6644
0.2902,-0.7142,-0.6615
0.2892,-0.7132,-0.6615
0.2882,-0.7162,-0.6624
0.2872,-0.7162,-0.6624
0.2892,-0.7162,-0.6654
0.2872,-0.7142,-0.6624
0.2882,-0.7211,-0.6615
0.2902,-0.7181,-0.6605
0.2941,-0.7162,-0.6644
0.2980,-0.7162,-0.6624
0.2980,-0.7191,-0.6556
0.2980,-0.7171,-0.6566
0.2990,-0.7171,-0.6595
0.3000,-0.7181,-0.6634
0.2980,-0.7181,-0.6615
0.2960,-0.7162,-0.6615
0.2921,-0.7181,-0.6615
0.2872,-0.7152,-0.6624
0.2843,-0.7201,-0.6624
0.2833,-0.7181,-0.6605
0.2824,-0.7191,-0.6595
0.2824,-0.7181,-0.6585
0.2843,-0.7191,-0.6595
0.2853,-0.7181,-0.6615
0.2872,-0.7220,-0.6605
0.2882,-0.7211,-0.6605
0.2921,-0.7201,-0.6595
0.2941,-0.7171,-0.6615
0.2931,-0.7171,-0.6624
0.2902,-0.7211,-0.6575
0.2912,-0.7201,-0.6585
0.2912,-0.7181,-0.6624
0.2863,-0.7171,-0.6605
0.2833,-0.7201,-0.6566
0.2882,-0.7201,-0.6556
0.2902,-0.7211,-0.6624
0.2833,-0.7162,-0.6624
0.2814,-0.7220,-0.6556
0.2892,-0.7211,-0.6566
0.2912,-0.7162,-0.6654
0.2863,-0.7211,-0.6605
0.2892,-0.7230,-0.6566
0.2951,-0.7230,-0.6566
0.2921,-0.7171,-0.6595
0.2872,-0.7152,-0.6624
0.2843,-0.7152,-0.6624
0.2863,-0.7191,-0.6585
0.2872,-0.7201,-0.6556
0.2912,-0.7181,-0.6605
0.2912,-0.7191,-0.6634
0.2892,-0.7191,-0.6624
0.3000,-0.7191,-0.6605
0.3009,-0.7142,-0.6605
0.2970,-0.7181,-0.6683
0.2941,-0.7201,-0.6644
0.2912,-0.7181,-0.6615
0.2902,-0.7201,-0.6575
0.2853,-0.7171,-0.6585
0.2824,-0.7181,-0.6605
0.2804,-0.7162,-0.6575
0.2833,-0.7191,-0.6605
0.2872,-0.7181,-0.6615
0.2892,-0.7171,-0.6624
0.2931,-0.7181,-0.6644
0.2960,-0.7162,-0.6634
0.2990,-0.7142,-0.6615
0.3009,-0.7152,-0.6615
0.3019,-0.7162,-0.6595
0.3000,-0.7162,-0.6615
0.2980,-0.7181,-0.6624
0.2960,-0.7162,-0.6615
0.2941,-0.7152,-0.6615
0.2912,-0.7162,-0.6634
0.2872,-0.7142,-0.6644
0.2882,-0.7171,-0.6615
0.2902,-0.7152,-0.6624
0.2872,-0.7132,-0.6654
0.2843,-0.7162,-0.6634
0.2892,-0.7142,-0.6605
0.2951,-0.7152,-0.6634
0.2990,-0.7152,-0.6644
