x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.8627,0.2980,-0.4133
0.8608,0.2990,-0.4113
0.8617,0.3000,-0.4113
0.8617,0.3000,-0.4123
0.8608,0.3000,-0.4123
0.8608,0.2990,-0.4123
0.8598,0.2980,-0.4133
0.8569,0.2990,-0.4113
0.8588,0.2980,-0.4113
0.8617,0.3000,-0.4123
0.8627,0.2990,-0.4113
0.8617,0.2990,-0.4104
0.8608,0.2980,-0.4104
0.8608,0.3009,-0.4133
0.8617,0.3009,-0.4113
0.8608,0.2990,-0.4104
0.8598,0.3000,-0.4123
0.8608,0.2980,-0.4123
0.8598,0.3009,-0.4113
0.8598,0.3000,-0.4113
0.8608,0.3000,-0.4113
0.8617,0.2980,-0.4113
0.8608,0.2990,-0.4104
0.8627,0.3000,-0.4143
0.8617,0.2980,-0.4113
0.8627,0.3000,-0.4113
0.8608,0.2980,-0.4123
0.8598,0.2990,-0.4113
0.8608,0.3009,-0.4123
0.8598,0.2990,-0.4104
0.8588,0.2990,-0.4113
0.8608,0.3009,-0.4113
0.8608,0.2990,-0.4113
0.8608,0.3000,-0.4104
0.8608,0.2990,-0.4133
0.8608,0.2990,-0.4104
0.8598,0.3000,-0.4113
0.8608,0.2980,-0.4104
0.8608,0.2980,-0.4113
0.8617,0.2990,-0.4113
0.8598,0.3000,-0.4113
0.8598,0.2990,-0.4113
0.8617,0.2990,-0.4113
0.8608,0.2990,-0.4104
0.8608,0.3000,-0.4123
0.8608,0.3000,-0.4094
0.8608,0.2990,-0.4123
0.8627,0.3000,-0.4094
0.8617,0.2990,-0.4113
0.8608,0.3019,-0.4123
0.8598,0.3000,-0.4094
0.8608,0.3000,-0.4113
0.8598,0.2980,-0.4094
0.8617,0.2990,-0.4113
0.8637,0.2990,-0.4104
0.8657,0.2980,-0.4104
0.8657,0.3000,-0.4133
0.8617,0.2990,-0.4084
0.8588,0.2990,-0.4074
0.8598,0.2990,-0.4084
0.8617,0.3009,-0.4123
0.8608,0.2980,-0.4123
0.8617,0.3000,-0.4104
0.8617,0.2970,-0.4104
0.8617,0.2990,-0.4113
0.8617,0.3019,-0.4084
0.8608,0.3029,-0.4113
0.8627,0.2970,-0.4113
0.8617,0.2990,-0.4113
0.8588,0.3000,-0.4113
0.8608,0.3000,-0.4084
0.8617,0.2990,-0.4133
0.8627,0.3009,-0.4113
0.8627,0.2970,-0.4113
0.8627,0.3000,-0.4104
0.8598,0.3000,-0.4113
0.8617,0.2990,-0.4094
0.8617,0.3000,-0.4104
0.8617,0.2990,-0.4113
0.8598,0.2990,-0.4094
0.8617,0.2980,-0.4084
0.8617,0.3000,-0.4104
0.8588,0.3000,-0.4113
0.8617,0.2990,-0.4113
0.8608,0.2990,-0.4113
0.8617,0.2980,-0.4104
0.8608,0.2990,-0.4094
0.8608,0.3000,-0.4123
0.8598,0.2990,-0.4104
0.8598,0.2990,-0.4104
0.8617,0.2980,-0.4113
0.8608,0.2980,-0.4113
0.8617,0.3000,-0.4123
0.8598,0.2990,-0.4113
0.8617,0.2990,-0.4113
0.8627,0.2990,-0.4123
0.8617,0.2980,-0.4104
0.8608,0.2990,-0.4113
0.8608,0.2980,-0.4113
0.8617,0.2990,-0.4123
0.8598,0.2980,-0.4104
0.8608,0.2980,-0.4113
0.8608,0.2990,-0.4113
0.8608,0.3009,-0.4113
0.8617,0.2990,-0.4113
0.8617,0.3009,-0.4123
0.8608,0.2980,-0.4104
0.8617,0.2990,-0.4133
0.8608,0.3000,-0.4133
0.8617,0.3000,-0.4133
0.8608,0.3000,-0.4133
0.8588,0.3000,-0.4113
0.8598,0.3009,-0.4123
0.8598,0.2980,-0.4104
0.8608,0.2990,-0.4123
0.8627,0.3000,-0.4113
0.8647,0.3009,-0.4133
0.8657,0.3009,-0.4133
0.8627,0.2990,-0.4104
0.8598,0.2970,-0.4094
0.8578,0.2990,-0.4113
0.8588,0.3009,-0.4123
0.8598,0.3000,-0.4113
0.8617,0.2980,-0.4123
0.8627,0.3009,-0.4113
0.8608,0.2980,-0.4113
0.8608,0.3009,-0.4113
0.8617,0.3019,-0.4113
0.8617,0.2990,-0.4104
0.8608,0.2980,-0.4113
0.8588,0.2980,-0.4133
0.8569,0.2980,-0.4094
0.8588,0.3000,-0.4113
0.8617,0.3000,-0.4133
0.8627,0.2980,-0.4123
0.8608,0.2980,-0.4084
0.8608,0.2990,-0.4123
0.8608,0.3000,-0.4123
0.8608,0.3009,-0.4094
0.8608,0.2980,-0.4113
0.8598,0.2990,-0.4113
0.8598,0.2980,-0.4133
0.8608,0.3000,-0.4123
0.8598,0.2990,-0.4094
0.8608,0.3000,-0.4113
0.8617,0.2990,-0.4123
0.8608,0.2980,-0.4133
0.8617,0.3000,-0.4123
0.8617,0.2990,-0.4123
0.8588,0.3000,-0.4113
0.8598,0.2990,-0.4113
0.8598,0.3000,-0.4123
