x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.1720,-0.6038,-0.8109
0.1759,-0.6097,-0.8149
0.1768,-0.6058,-0.8139
0.1720,-0.6019,-0.8158
0.1671,-0.6028,-0.8149
0.1622,-0.6048,-0.8188
0.1651,-0.6038,-0.8149
0.1671,-0.6058,-0.8139
0.1720,-0.6048,-0.8139
0.1729,-0.6038,-0.8129
0.1749,-0.6058,-0.8178
0.1749,-0.6058,-0.8149
0.1710,-0.6058,-0.8168
0.1681,-0.6038,-0.8149
0.1641,-0.6038,-0.8158
0.1671,-0.6067,-0.8158
0.1729,-0.6067,-0.8129
0.1739,-0.6038,-0.8168
0.1700,-0.6028,-0.8129
0.1641,-0.6058,-0.8149
0.1690,-0.6028,-0.8158
0.1710,-0.6048,-0.8158
0.1700,-0.6048,-0.8139
0.1700,-0.6048,-0.8149
0.1720,-0.6058,-0.8149
0.1729,-0.6048,-0.8149
0.1729,-0.6028,-0.8149
0.1671,-0.6048,-0.8158
0.1739,-0.6067,-0.8139
0.1720,-0.6067,-0.8139
0.1671,-0.6058,-0.8149
0.1690,-0.6038,-0.8158
0.1710,-0.6038,-0.8129
0.1720,-0.6028,-0.8158
0.1720,-0.6058,-0.8139
0.1671,-0.6067,-0.8149
0.1700,-0.6048,-0.8158
0.1710,-0.6048,-0.8158
0.1690,-0.6038,-0.8149
0.1700,-0.6067,-0.8139
0.1720,-0.6048,-0.8139
0.1739,-0.6077,-0.8139
0.1681,-0.6038,-0.8139
0.1681,-0.6067,-0.8129
0.1690,-0.6067,-0.8149
0.1671,-0.6028,-0.8168
0.1690,-0.6067,-0.8158
0.1720,-0.6058,-0.8119
0.1700,-0.6058,-0.8119
0.1671,-0.6038,-0.8178
0.1720,-0.6048,-0.8139
0.1720,-0.6067,-0.8129
0.1729,-0.6058,-0.8139
0.1729,-0.6019,-0.8119
0.1681,-0.6058,-0.8168
0.1710,-0.6058,-0.8129
0.1690,-0.6028,-0.8139
0.1661,-0.6058,-0.8149
0.1720,-0.6077,-0.8178
0.1749,-0.6097,-0.8139
0.1710,-0.6058,-0.8139
0.1661,-0.6038,-0.8129
0.1710,-0.6028,-0.8129
0.1651,-0.6048,-0.8139
0.1641,-0.6058,-0.8149
0.1641,-0.6038,-0.8158
0.1661,-0.6048,-0.8109
0.1681,-0.6038,-0.8139
0.1681,-0.6048,-0.8158
0.1720,-0.6067,-0.8158
0.1720,-0.6067,-0.8149
0.1710,-0.6058,-0.8158
0.1651,-0.6058,-0.8139
0.1622,-0.6058,-0.8158
0.1671,-0.6067,-0.8139
0.1700,-0.6067,-0.8158
0.1700,-0.6038,-0.8129
0.1681,-0.6058,-0.8139
0.1661,-0.6067,-0.8168
0.1651,-0.6058,-0.8149
0.1651,-0.6038,-0.8139
0.1661,-0.6058,-0.8158
0.1661,-0.6048,-0.8139
0.1661,-0.6067,-0.8139
0.1671,-0.6048,-0.8149
0.1690,-0.6058,-0.8149
0.1671,-0.6067,-0.8158
0.1671,-0.6058,-0.8139
0.1661,-0.6058,-0.8139
0.1651,-0.6067,-0.8119
0.1651,-0.6067,-0.8139
0.1661,-0.6058,-0.8149
0.1671,-0.6058,-0.8149
0.1671,-0.6058,-0.8139
0.1661,-0.6067,-0.8139
0.1661,-0.6067,-0.8139
0.1661,-0.6058,-0.8139
0.1671,-0.6067,-0.8139
0.1681,-0.6058,-0.8129
0.1671,-0.6038,-0.8149
0.1661,-0.6048,-0.8129
0.1681,-0.6048,-0.8168
0.1710,-0.6058,-0.8149
0.1700,-0.6058,-0.8139
0.1700,-0.6048,-0.8139
0.1671,-0.6058,-0.8149
0.1661,-0.6058,-0.8129
0.1661,-0.6087,-0.8149
0.1690,-0.6048,-0.8139
0.1700,-0.6038,-0.8139
0.1671,-0.6077,-0.8188
0.1671,-0.6019,-0.8158
0.1700,-0.6028,-0.8139
0.1681,-0.6048,-0.8178
0.1710,-0.6077,-0.8168
0.1729,-0.6087,-0.8158
0.1749,-0.6067,-0.8119
0.1729,-0.6028,-0.8149
0.1671,-0.6009,-0.8149
0.1641,-0.6028,-0.8168
0.1651,-0.6067,-0.8168
0.1690,-0.6038,-0.8158
0.1661,-0.6048,-0.8119
0.1729,-0.6048,-0.8119
0.1729,-0.6038,-0.8178
0.1739,-0.6048,-0.8119
0.1729,-0.6048,-0.8178
0.1720,-0.6028,-0.8158
0.1681,-0.6038,-0.8168
0.1641,-0.6038,-0.8149
0.1681,-0.6048,-0.8168
0.1739,-0.6058,-0.8158
0.1710,-0.6048,-0.8119
0.1778,-0.6009,-0.8178
0.1661,-0.6019,-0.8158
0.1651,-0.6038,-0.8139
0.1690,-0.6038,-0.8149
0.1681,-0.6038,-0.8168
0.1690,-0.6058,-0.8168
0.1710,-0.6048,-0.8149
0.1729,-0.6038,-0.8158
0.1700,-0.6058,-0.8139
0.1739,-0.6058,-0.8139
