x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.4993,0.9966,-0.1290
0.6175,0.9770,-0.0205
0.5852,0.9731,0.0068
0.4875,0.8950,0.0225
0.4944,0.8256,0.0674
0.5012,0.7650,0.0840
0.7738,0.7787,0.1837
0.7846,0.6517,0.2618
0.8227,0.6380,0.3410
0.7064,0.5892,0.3683
0.5774,0.5413,0.3117
0.6663,0.5931,0.2843
0.7474,0.5745,0.2491
0.6976,0.6116,0.2316
0.6263,0.6106,0.3127
0.5423,0.6067,0.3830
0.6781,0.6165,0.3517
0.6986,0.5901,0.3097
0.8686,0.6605,0.2589
0.8070,0.6957,0.3185
0.7592,0.6976,0.2540
0.6644,0.6702,0.1778
0.6790,0.6800,0.1466
0.6292,0.7386,0.0674
0.6263,0.7250,0.0821
0.5979,0.6986,0.0801
0.6683,0.6839,0.0469
0.7523,0.6370,0.0254
0.7553,0.6497,0.0303
0.6859,0.6234,0.0528
0.7230,0.6058,0.0469
0.8363,0.5950,-0.0342
0.8158,0.6038,-0.0440
0.7367,0.6009,-0.0029
0.7093,0.5618,0.1006
0.8070,0.5462,0.1133
0.8930,0.5491,0.0352
0.8696,0.5022,-0.0029
0.7973,0.4836,0.0752
0.7484,0.4494,0.1036
0.8168,0.4631,0.0547
0.9223,0.5217,-0.0322
0.9253,0.5178,-0.0430
0.9135,0.4807,0.0020
0.8686,0.4719,0.0166
0.8813,0.5081,-0.0244
0.9340,0.5354,-0.1339
0.9790,0.5589,-0.2189
0.9604,0.5256,-0.1348
0.8725,0.5247,-0.0674
0.9096,0.4846,-0.0391
0.9487,0.4885,0.0264
0.9106,0.4348,-0.0117
0.9868,0.4660,-0.1573
1.0318,0.4143,-0.0234
0.9077,0.4299,0.0703
0.8510,0.4055,0.0059
0.8373,0.3547,0.0059
0.8324,0.3537,-0.0176
0.6693,0.3596,-0.1622
0.7621,0.4231,-0.3605
0.9243,0.3908,-0.3127
0.7416,0.4123,0.0899
0.9116,0.4455,-0.0313
0.9985,0.4123,-0.1163
1.1832,0.5256,-0.1593
0.9731,0.6077,-0.2218
0.7005,0.7240,-0.1163
0.3508,0.8197,-0.3371
0.1495,0.8188,-0.5159
0.4895,0.8510,-0.5315
0.7680,0.8129,-0.7748
0.7220,0.7328,-0.6517
0.7025,0.6409,-0.5188
0.8754,0.6595,-0.6810
1.2877,0.6351,-0.5227
1.1812,0.5090,-0.4387
0.9966,0.6351,-0.4533
0.2804,0.4035,-0.3351
0.3254,0.4631,-0.5042
0.6536,0.5393,-0.6038
0.5129,0.3664,-0.5901
0.5393,0.2755,-0.3146
0.5413,0.2697,-0.0401
0.6605,0.3508,0.0635
0.8354,0.3859,-0.0508
1.0445,0.2775,-0.1065
0.9741,0.2433,-0.1612
0.8031,0.2921,-0.0850
0.8256,0.3205,0.0391
0.8784,0.3478,0.0430
0.7865,0.3078,0.0059
1.2545,0.4700,-0.0850
1.2868,0.5823,-0.0186
0.9927,0.6204,0.0313
0.8227,0.7855,-0.4690
0.8764,0.7132,-0.3742
1.1412,0.7953,-0.3859
0.9976,0.7162,-0.1378
0.6566,0.6605,-0.0078
0.8657,0.5247,-0.2101
0.9907,0.5667,-0.1505
0.6986,0.6067,-0.2941
0.7709,0.5725,-0.2775
0.7562,0.6624,-0.4621
0.6859,0.6556,-0.6439
0.5110,0.5550,-0.5178
0.5813,0.5178,-0.3449
0.6536,0.4055,-0.2706
0.5413,0.3889,-0.1915
0.5579,0.4846,-0.0528
0.7279,0.5725,-0.1944
0.8745,0.5911,-0.3420
0.7103,0.5618,-0.3400
0.7103,0.5276,-0.2198
0.7572,0.5471,-0.2364
0.8363,0.5677,-0.2921
0.8236,0.5901,-0.3752
0.7855,0.5579,-0.3810
0.7142,0.5198,-0.3478
0.8217,0.5227,-0.3332
0.9204,0.5491,-0.3830
0.7894,0.5227,-0.3664
0.7435,0.5188,-0.3537
0.7572,0.4983,-0.3713
0.7719,0.4973,-0.3654
0.7660,0.4846,-0.3635
0.8070,0.4485,-0.3361
0.8295,0.4778,-0.3488
0.8178,0.4533,-0.3332
0.8119,0.4602,-0.3332
0.8451,0.4690,-0.4270
0.8246,0.4778,-0.3625
0.8999,0.4827,-0.3478
0.8305,0.4201,-0.3791
0.8569,0.4475,-0.2804
0.8539,0.3908,-0.2726
0.7924,0.5042,-0.4231
0.6585,0.5774,-0.4631
0.7035,0.4758,-0.3508
0.9741,0.4768,-0.3195
0.9389,0.4748,-0.2990
0.7250,0.4758,-0.3361
0.7455,0.4846,-0.3625
0.8559,0.5237,-0.3996
0.6869,0.4954,-0.4231
0.6517,0.5247,-0.4299
0.6800,0.5393,-0.4055
0.6429,0.5774,-0.3224
0.5247,0.6331,-0.3957
0.5217,0.6800,-0.4182
0.6097,0.6546,-0.3742
0.6810,0.6067,-0.2980
0.8217,0.6605,-0.3117
0.7504,0.6097,-0.2355
