x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.6673,-0.1583,-0.7191
0.6888,-0.1524,-0.7523
0.6996,-0.1514,-0.7445
0.6673,-0.1739,-0.7152
0.6810,-0.1681,-0.7162
0.6937,-0.1690,-0.7318
0.7064,-0.1651,-0.7250
0.6595,-0.1729,-0.7113
0.6722,-0.1710,-0.7211
0.7093,-0.1671,-0.7318
0.7259,-0.1573,-0.7220
0.6966,-0.1661,-0.7084
0.7318,-0.1563,-0.7230
0.6771,-0.1622,-0.7269
0.5999,-0.1808,-0.7191
0.5725,-0.1983,-0.6585
0.5305,-0.2052,-0.6097
0.8901,-0.1602,-0.8246
0.7982,-0.1231,-0.8080
0.5638,-0.1768,-0.6361
0.4533,-0.1583,-0.6175
0.6009,-0.1729,-0.6849
0.7044,-0.1759,-0.7680
0.6751,-0.1749,-0.7631
0.7386,-0.1681,-0.7748
0.7386,-0.1563,-0.7318
0.6790,-0.1700,-0.6781
0.6761,-0.1583,-0.6790
0.6810,-0.1602,-0.7211
0.6976,-0.1622,-0.7455
0.7035,-0.1661,-0.7426
0.6722,-0.1710,-0.7220
0.6810,-0.1632,-0.7201
0.6771,-0.1622,-0.7181
0.6849,-0.1602,-0.7171
0.6966,-0.1612,-0.7220
0.6878,-0.1632,-0.7230
0.6859,-0.1632,-0.7211
0.6898,-0.1651,-0.7132
0.6996,-0.1563,-0.6986
0.6937,-0.1651,-0.7259
0.6917,-0.1602,-0.7484
0.6517,-0.1651,-0.7406
0.6615,-0.1544,-0.7347
0.6751,-0.1544,-0.7328
0.6957,-0.1563,-0.7240
0.6839,-0.1593,-0.7142
0.6849,-0.1593,-0.7298
0.6849,-0.1651,-0.7142
0.6898,-0.1749,-0.7357
0.6810,-0.1612,-0.6986
0.6751,-0.1622,-0.7103
0.6732,-0.1641,-0.7347
0.6634,-0.1544,-0.7406
0.6644,-0.1563,-0.7162
0.6830,-0.1602,-0.7093
0.6986,-0.1612,-0.7318
0.7064,-0.1690,-0.7347
0.6849,-0.1602,-0.7142
0.7025,-0.1671,-0.7279
0.6634,-0.1602,-0.7269
0.6575,-0.1602,-0.7357
0.6830,-0.1612,-0.7191
0.6947,-0.1573,-0.7162
0.6888,-0.1612,-0.7162
0.6996,-0.1593,-0.7220
0.6986,-0.1661,-0.7386
0.6761,-0.1632,-0.7553
0.6507,-0.1544,-0.7416
0.6644,-0.1544,-0.7338
0.6693,-0.1495,-0.7308
0.6976,-0.1632,-0.7142
0.6810,-0.1690,-0.7084
0.7044,-0.1514,-0.6986
0.7797,-0.1935,-0.6458
0.6976,-0.1847,-0.7025
0.7211,-0.1622,-0.7084
0.6781,-0.1651,-0.6820
0.6839,-0.1632,-0.7093
0.7044,-0.1681,-0.7308
0.6702,-0.1612,-0.7455
0.6634,-0.1593,-0.7328
0.6771,-0.1593,-0.7142
0.6957,-0.1632,-0.7074
0.7103,-0.1622,-0.7123
0.6986,-0.1690,-0.7064
0.7054,-0.1641,-0.7142
0.6976,-0.1641,-0.7084
0.6830,-0.1641,-0.7074
0.6947,-0.1602,-0.7230
0.6859,-0.1641,-0.7191
0.6849,-0.1632,-0.7220
0.6790,-0.1573,-0.7328
0.6986,-0.1876,-0.6888
0.7171,-0.1524,-0.7279
0.6957,-0.1710,-0.7162
0.6869,-0.1700,-0.6957
0.6820,-0.1768,-0.7132
0.7171,-0.1651,-0.7259
0.7005,-0.1583,-0.7298
0.6654,-0.1632,-0.7230
0.6497,-0.1593,-0.7347
0.6761,-0.1651,-0.7474
0.6507,-0.1690,-0.7093
0.7064,-0.1505,-0.7103
0.7562,-0.1505,-0.7171
0.6927,-0.1895,-0.7074
0.6595,-0.1720,-0.7230
0.6996,-0.1641,-0.7084
0.6986,-0.1671,-0.7259
0.6878,-0.1720,-0.7074
0.7054,-0.1514,-0.7181
0.6566,-0.1641,-0.7523
0.6497,-0.1729,-0.7328
0.6507,-0.1553,-0.7220
0.6869,-0.1778,-0.7201
0.7074,-0.1583,-0.7181
0.6888,-0.1720,-0.7152
0.7093,-0.1768,-0.7103
0.6927,-0.1710,-0.7259
0.6751,-0.1847,-0.7152
0.6878,-0.1681,-0.6888
0.6830,-0.1749,-0.7250
0.7025,-0.1681,-0.7220
0.6937,-0.1710,-0.7181
0.6839,-0.1768,-0.7416
0.6976,-0.1544,-0.7699
0.6253,-0.1514,-0.7572
0.6341,-0.1720,-0.7328
0.6644,-0.1720,-0.6702
0.6908,-0.1866,-0.6302
0.7152,-0.1876,-0.5882
0.8530,-0.1378,-0.8168
0.6908,-0.1593,-0.8725
0.5315,-0.1573,-0.6712
0.4895,-0.1661,-0.5999
0.6136,-0.1788,-0.6546
0.7377,-0.1681,-0.7357
0.7699,-0.1661,-0.7992
0.7435,-0.1651,-0.7670
0.6839,-0.1710,-0.6888
0.6712,-0.1612,-0.6624
0.6888,-0.1544,-0.6898
