x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.3478,-0.0264,-0.9692
0.3547,-0.0381,-0.9507
0.3664,-0.0420,-0.9643
0.3683,-0.0274,-0.9692
0.3390,-0.0293,-0.9604
0.3371,-0.0293,-0.9634
0.3322,-0.0362,-0.9487
0.3185,-0.0449,-0.9438
0.3263,-0.0489,-0.9604
0.3312,-0.0547,-0.9507
0.3205,-0.0743,-0.9585
0.3713,-0.0313,-1.0151
0.3390,-0.0293,-0.9731
0.3195,-0.0664,-0.9311
0.3273,-0.0684,-0.9448
0.3351,-0.0567,-0.9653
0.3439,-0.0547,-0.9897
0.2960,-0.0469,-0.9682
0.3019,-0.0489,-0.9702
0.3009,-0.0420,-0.9682
0.2990,-0.0557,-0.9663
0.2990,-0.0576,-0.9614
0.3048,-0.0586,-0.9634
0.3048,-0.0508,-0.9643
0.3205,-0.0537,-0.9800
0.3068,-0.0489,-0.9614
0.2970,-0.0547,-0.9526
0.3039,-0.0440,-0.9722
0.3127,-0.0430,-0.9741
0.3029,-0.0401,-0.9731
0.3107,-0.0352,-0.9751
0.3156,-0.0430,-0.9682
0.3302,-0.0508,-0.9682
0.3302,-0.0420,-0.9741
0.3146,-0.0547,-0.9546
0.3048,-0.0440,-0.9692
0.3000,-0.0332,-0.9761
0.2960,-0.0342,-0.9722
0.3087,-0.0303,-0.9780
0.3078,-0.0362,-0.9770
0.3039,-0.0322,-0.9790
0.2892,-0.0371,-0.9673
0.2912,-0.0352,-0.9702
0.3000,-0.0391,-0.9741
0.3195,-0.0430,-0.9643
0.3097,-0.0449,-0.9712
0.3293,-0.0381,-0.9751
0.3234,-0.0391,-0.9663
0.3166,-0.0410,-0.9663
0.3029,-0.0342,-0.9712
0.3205,-0.0352,-0.9751
0.3078,-0.0362,-0.9702
0.3166,-0.0430,-0.9624
0.3156,-0.0313,-0.9741
0.3175,-0.0401,-0.9673
0.3097,-0.0420,-0.9634
0.3058,-0.0401,-0.9682
0.3156,-0.0391,-0.9702
0.3185,-0.0391,-0.9663
0.3136,-0.0362,-0.9741
0.3097,-0.0352,-0.9682
0.3068,-0.0430,-0.9682
0.3078,-0.0352,-0.9702
0.3166,-0.0352,-0.9722
0.3156,-0.0362,-0.9712
0.3117,-0.0362,-0.9712
0.3166,-0.0391,-0.9653
0.3254,-0.0459,-0.9595
0.3254,-0.0430,-0.9653
0.3234,-0.0371,-0.9722
0.3107,-0.0342,-0.9653
0.3146,-0.0401,-0.9634
0.3127,-0.0332,-0.9692
0.3175,-0.0371,-0.9682
0.3273,-0.0401,-0.9653
0.3205,-0.0449,-0.9634
0.3263,-0.0410,-0.9663
0.3234,-0.0401,-0.9663
0.3293,-0.0420,-0.9634
0.3214,-0.0401,-0.9653
0.3224,-0.0459,-0.9634
0.3195,-0.0410,-0.9673
0.3283,-0.0410,-0.9673
0.3185,-0.0440,-0.9634
0.3244,-0.0362,-0.9682
0.3185,-0.0362,-0.9682
0.3273,-0.0391,-0.9702
0.3214,-0.0420,-0.9653
0.3332,-0.0430,-0.9692
0.3136,-0.0342,-0.9692
0.3185,-0.0401,-0.9634
0.3068,-0.0459,-0.9614
0.3205,-0.0401,-0.9673
0.3195,-0.0410,-0.9673
0.3214,-0.0401,-0.9643
0.3234,-0.0449,-0.9575
0.3234,-0.0430,-0.9682
0.3234,-0.0420,-0.9643
0.3195,-0.0449,-0.9634
0.3166,-0.0420,-0.9614
0.3205,-0.0420,-0.9643
0.3244,-0.0410,-0.9634
0.3283,-0.0391,-0.9673
0.3302,-0.0391,-0.9692
0.3390,-0.0401,-0.9682
0.3351,-0.0479,-0.9595
0.3312,-0.0449,-0.9575
0.3302,-0.0440,-0.9555
0.3332,-0.0391,-0.9614
0.3322,-0.0449,-0.9604
0.3341,-0.0371,-0.9624
0.3361,-0.0362,-0.9595
0.3468,-0.0342,-0.9585
0.3596,-0.0479,-0.9526
0.3810,-0.0498,-0.9497
0.3586,-0.0410,-0.9555
0.3605,-0.0371,-0.9555
0.3478,-0.0440,-0.9477
0.3556,-0.0401,-0.9585
0.3498,-0.0420,-0.9536
0.3527,-0.0420,-0.9516
0.3498,-0.0420,-0.9546
0.3517,-0.0401,-0.9536
0.3556,-0.0401,-0.9546
0.3576,-0.0410,-0.9526
0.3527,-0.0420,-0.9507
0.3576,-0.0362,-0.9546
0.3517,-0.0401,-0.9536
0.3586,-0.0420,-0.9497
0.3556,-0.0410,-0.9497
0.3596,-0.0420,-0.9536
0.3527,-0.0469,-0.9516
0.3556,-0.0381,-0.9555
0.3547,-0.0410,-0.9565
0.3576,-0.0362,-0.9565
0.3566,-0.0391,-0.9536
0.3566,-0.0391,-0.9507
0.3527,-0.0391,-0.9516
0.3566,-0.0410,-0.9526
0.3566,-0.0362,-0.9585
0.3547,-0.0401,-0.9507
0.3576,-0.0440,-0.9507
0.3605,-0.0381,-0.9526
