x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.7181,-0.1172,-0.0039
0.7269,-0.1241,-0.0537
0.7836,-0.1426,-0.0752
0.7680,-0.1622,-0.0664
0.7670,-0.1651,-0.0518
0.7523,-0.1622,-0.0186
0.7582,-0.1681,-0.0010
0.7982,-0.1856,0.0274
0.8363,-0.2032,0.0264
0.8920,-0.2296,-0.0107
0.9292,-0.2648,-0.0449
1.0386,-0.2892,-0.0586
1.1343,-0.2745,-0.0362
1.1578,-0.2491,-0.0264
1.1812,-0.2169,-0.0957
1.1891,-0.2062,-0.0997
1.2692,-0.2032,-0.0068
1.4011,-0.1954,0.1016
1.5496,-0.1192,0.2325
1.4460,-0.0586,0.2726
1.1510,0.0088,0.0684
0.8852,0.0117,-0.0166
0.9282,0.0127,0.0137
0.9272,0.0576,0.0528
0.9057,0.0870,0.1006
0.9008,0.0567,0.1417
0.9174,0.0176,0.1436
0.8774,-0.0147,0.0918
0.7777,-0.0772,0.0342
0.6966,-0.1387,0.0166
0.7123,-0.1847,0.0127
0.7689,-0.2247,-0.0186
0.7894,-0.2423,-0.0440
0.7934,-0.2394,-0.0498
0.8188,-0.2374,-0.0547
0.8608,-0.2296,-0.0733
0.8891,-0.2267,-0.1085
0.9331,-0.2374,-0.1309
0.9692,-0.2501,-0.1387
0.9936,-0.2775,-0.1036
1.0464,-0.2931,-0.0479
1.1588,-0.3029,0.0547
1.1529,-0.3234,0.0889
1.1519,-0.3537,0.0020
1.1402,-0.3908,-0.0186
1.2662,-0.3850,0.0195
1.4011,-0.3547,0.1319
1.4998,-0.3263,0.2550
1.5193,-0.1944,0.2755
1.2135,-0.1065,0.1553
0.9038,-0.1553,0.1348
0.9086,-0.1768,0.1133
0.9428,-0.1681,0.2237
0.8793,-0.1720,0.2794
0.8324,-0.1651,0.3117
0.7758,-0.1475,0.2833
0.7445,-0.1036,0.1690
0.7601,-0.0782,0.0899
0.7592,-0.0752,0.0293
0.7582,-0.0782,-0.0176
0.7416,-0.1026,-0.0234
0.7728,-0.1251,-0.0166
0.7719,-0.1593,0.0264
0.7826,-0.1798,0.0430
0.8207,-0.1895,0.0264
0.8627,-0.2022,-0.0127
0.9135,-0.2169,-0.0586
0.9741,-0.2394,-0.0684
1.0445,-0.2364,-0.0801
1.1021,-0.2296,-0.0625
1.1891,-0.2013,-0.0137
1.2330,-0.1681,0.0186
1.2106,-0.1749,-0.0156
1.2926,-0.1808,0.0449
1.3864,-0.1681,0.1153
1.4392,-0.1299,0.1593
1.3933,-0.0586,0.1602
1.1197,0.0039,0.0352
0.9438,0.0176,-0.0098
0.9448,0.0293,0.0518
0.9477,0.0840,0.1016
0.9380,0.1358,0.1808
0.9819,0.0743,0.2658
0.9106,-0.0293,0.1710
0.7709,-0.0811,0.0274
0.7005,-0.1573,-0.0635
0.6605,-0.1993,-0.0684
0.6839,-0.2384,-0.0479
0.7074,-0.2736,-0.0195
0.7035,-0.2882,-0.0274
0.7054,-0.2951,-0.0449
0.7435,-0.2745,-0.0459
0.7953,-0.2452,-0.0684
0.8920,-0.2208,-0.0782
0.9849,-0.2130,-0.0752
1.0679,-0.2169,-0.0401
1.1451,-0.2306,0.0059
1.2018,-0.2237,0.0557
1.2447,-0.2560,0.0664
1.2233,-0.2853,0.0098
1.2350,-0.3293,-0.0010
1.3268,-0.3459,0.0205
1.3845,-0.3644,0.1221
1.4187,-0.3449,0.2413
1.4636,-0.2149,0.2648
1.2467,-0.1124,0.1954
0.9858,-0.0938,0.1837
0.8842,-0.1407,0.1935
0.9292,-0.1632,0.2804
0.9360,-0.1221,0.3478
0.8823,-0.1006,0.3625
0.7904,-0.0840,0.3615
0.7123,-0.0557,0.2755
0.7211,-0.0166,0.0772
0.7396,-0.0205,-0.0274
0.7807,-0.0303,-0.0723
0.7670,-0.0752,-0.0635
0.7689,-0.1153,-0.0449
0.7416,-0.1505,-0.0166
0.7279,-0.1798,0.0156
0.7416,-0.1974,0.0459
0.7836,-0.2140,0.0430
0.8637,-0.2013,-0.0039
0.9301,-0.2022,-0.0352
1.0396,-0.2198,-0.0410
1.1392,-0.2247,-0.0059
1.2379,-0.2091,0.0557
1.2770,-0.1847,0.0909
1.2623,-0.1778,0.0078
1.2252,-0.2052,-0.0918
1.2721,-0.2257,-0.0821
1.4069,-0.1866,-0.0137
1.4822,-0.1768,0.0147
1.4489,-0.0967,0.0938
1.1363,-0.0684,0.1798
0.8891,0.0410,0.0938
0.8334,0.1104,0.1006
0.7973,0.1720,0.1114
0.8217,0.1641,0.1436
0.8119,0.0948,0.2228
0.7474,-0.0293,0.2149
0.6448,-0.1163,0.1671
0.6009,-0.1925,0.0762
0.6292,-0.2394,0.0166
0.7044,-0.2921,-0.0068
0.7465,-0.3156,-0.0147
0.7787,-0.3322,-0.0264
0.8549,-0.3488,-0.0703
0.9370,-0.3312,-0.1212
