x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.2804,-0.0352,-0.9829
0.2745,-0.0401,-0.9878
0.2726,-0.0293,-0.9809
0.2755,-0.0293,-0.9829
0.2726,-0.0283,-0.9868
0.2833,-0.0293,-0.9897
0.2716,-0.0264,-0.9995
0.2726,-0.0420,-0.9809
0.2570,-0.0420,-0.9526
0.2804,-0.0479,-1.0122
0.2980,-0.0107,-0.9761
0.2736,-0.0664,-0.9614
0.2716,-0.0362,-0.9790
0.2833,-0.0362,-0.9936
0.2579,-0.0352,-0.9770
0.2697,-0.0352,-0.9858
0.2941,-0.0215,-1.0005
0.2843,-0.0322,-0.9780
0.2697,-0.0332,-0.9868
0.2658,-0.0264,-0.9907
0.2687,-0.0332,-0.9712
0.2599,-0.0401,-0.9722
0.2667,-0.0342,-0.9751
0.2697,-0.0371,-0.9800
0.2843,-0.0401,-0.9809
0.2736,-0.0498,-0.9731
0.2589,-0.0430,-0.9790
0.2589,-0.0391,-0.9829
0.2697,-0.0322,-0.9751
0.3009,-0.0225,-1.0151
0.3068,-0.0547,-0.9477
0.2804,-0.0371,-0.9946
0.2970,-0.0371,-0.9819
0.2980,-0.0449,-0.9839
0.2785,-0.0215,-1.0015
0.2892,-0.0225,-0.9819
0.2951,-0.0156,-1.0024
0.2980,-0.0234,-1.0112
0.2579,-0.0508,-0.9438
0.3000,-0.0205,-0.9995
0.2872,-0.0528,-0.9604
0.2687,-0.0430,-0.9731
0.2667,-0.0362,-0.9809
0.2794,-0.0469,-0.9770
0.2931,-0.0420,-0.9790
0.2941,-0.0528,-0.9702
0.2921,-0.0489,-0.9712
0.2863,-0.0537,-0.9673
0.2804,-0.0518,-0.9770
0.2667,-0.0381,-0.9722
0.3019,-0.0371,-0.9956
0.2921,-0.0498,-0.9399
0.3078,-0.0322,-1.0015
0.2736,-0.0303,-0.9917
0.2872,-0.0430,-0.9839
0.2687,-0.0420,-0.9770
0.2843,-0.0332,-0.9780
0.2843,-0.0430,-0.9712
0.2794,-0.0391,-0.9751
0.2794,-0.0440,-0.9809
0.2853,-0.0352,-0.9761
0.2960,-0.0362,-0.9849
0.3117,-0.0391,-0.9819
0.2970,-0.0537,-0.9516
0.2931,-0.0440,-0.9741
0.2843,-0.0430,-0.9819
0.2843,-0.0303,-0.9917
0.2843,-0.0401,-0.9858
0.2745,-0.0410,-0.9702
0.2853,-0.0313,-0.9809
0.2843,-0.0391,-0.9761
0.2853,-0.0391,-0.9858
0.2785,-0.0322,-1.0015
0.2745,-0.0313,-0.9897
0.2687,-0.0459,-0.9487
0.3283,-0.0088,-1.0024
0.2677,-0.0635,-0.9477
0.2931,-0.0410,-0.9731
0.2912,-0.0283,-0.9868
0.2794,-0.0449,-0.9790
0.2570,-0.0342,-0.9477
0.2814,-0.0479,-0.9917
0.2775,-0.0137,-0.9907
0.2706,-0.0528,-0.9761
0.2872,-0.0274,-0.9722
0.2853,-0.0410,-0.9751
0.3146,-0.0274,-0.9829
0.3097,-0.0401,-0.9907
0.2833,-0.0498,-0.9565
0.2677,-0.0195,-0.9976
0.2785,-0.0293,-0.9976
0.2902,-0.0362,-0.9780
0.2775,-0.0244,-0.9800
0.2902,-0.0401,-0.9634
0.2824,-0.0352,-0.9692
0.3000,-0.0381,-0.9790
0.2785,-0.0283,-0.9888
0.2853,-0.0332,-0.9858
0.2882,-0.0283,-0.9839
0.2833,-0.0362,-0.9751
0.2882,-0.0410,-0.9682
0.2814,-0.0449,-0.9731
0.2843,-0.0293,-0.9917
0.2960,-0.0322,-0.9849
0.2980,-0.0371,-0.9722
0.2824,-0.0401,-0.9643
0.2902,-0.0352,-0.9790
0.2814,-0.0332,-0.9839
0.2902,-0.0283,-0.9897
0.2902,-0.0362,-0.9731
0.2941,-0.0371,-0.9702
0.3009,-0.0352,-0.9800
0.2912,-0.0381,-0.9761
0.2843,-0.0342,-0.9839
0.2755,-0.0391,-0.9780
0.2951,-0.0352,-0.9790
0.2931,-0.0313,-0.9878
0.3390,-0.0322,-0.9956
0.2990,-0.0303,-1.0151
0.3351,-0.0205,-0.9829
0.3009,-0.0733,-0.9507
0.2443,-0.0059,-0.9722
0.2628,-0.0537,-0.9340
0.2794,-0.0459,-0.9468
0.2931,-0.0420,-0.9595
0.2853,-0.0371,-0.9712
0.2638,-0.0420,-0.9663
0.2306,-0.0371,-0.9761
0.2472,-0.0107,-1.0132
0.2540,-0.0147,-0.9946
0.2970,-0.0186,-1.0064
0.3224,-0.0371,-0.9643
0.2931,-0.0381,-0.9878
0.3068,-0.0254,-0.9809
0.2736,-0.0352,-0.9800
0.2697,-0.0186,-0.9897
0.2697,-0.0274,-0.9770
0.2755,-0.0274,-0.9839
0.2785,-0.0293,-0.9790
0.2853,-0.0303,-0.9849
0.2921,-0.0401,-0.9702
0.2882,-0.0205,-0.9897
0.2824,-0.0264,-0.9897
