x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.8471,-0.4983,-0.1583
0.8500,-0.4954,-0.1612
0.8588,-0.4895,-0.1632
0.8578,-0.4895,-0.1690
0.8588,-0.4934,-0.1710
0.8530,-0.4836,-0.1847
0.8598,-0.4817,-0.1837
0.8588,-0.4856,-0.1895
0.8608,-0.4778,-0.1808
0.8588,-0.4787,-0.1768
0.8559,-0.4817,-0.1720
0.8530,-0.4533,-0.1768
0.8666,-0.4856,-0.1593
0.8598,-0.4836,-0.1632
0.8705,-0.4866,-0.1583
0.8530,-0.4768,-0.1690
0.8461,-0.4787,-0.1768
0.8520,-0.4748,-0.1759
0.8451,-0.4748,-0.1798
0.8510,-0.4778,-0.1720
0.8608,-0.4797,-0.1651
0.8627,-0.4817,-0.1632
0.8588,-0.4807,-0.1534
0.8432,-0.4787,-0.1563
0.8403,-0.4758,-0.1612
0.8344,-0.4787,-0.1768
0.8383,-0.4856,-0.1925
0.8559,-0.4817,-0.1954
0.8617,-0.4797,-0.1895
0.8647,-0.4758,-0.1671
0.8637,-0.4748,-0.1475
0.8588,-0.4817,-0.1358
0.8481,-0.4944,-0.1378
0.8393,-0.4846,-0.1622
0.8373,-0.4856,-0.1827
0.8451,-0.4827,-0.1925
0.8647,-0.4768,-0.1944
0.8637,-0.4739,-0.1847
0.8686,-0.4748,-0.1690
0.8686,-0.4778,-0.1553
0.8510,-0.4817,-0.1485
0.8481,-0.4778,-0.1544
0.8598,-0.4885,-0.1593
0.8666,-0.4807,-0.1739
0.8617,-0.4739,-0.1856
0.8715,-0.4758,-0.1856
0.8735,-0.4729,-0.1749
0.8598,-0.4690,-0.1671
0.8598,-0.4709,-0.1534
0.8500,-0.4787,-0.1583
0.8637,-0.4787,-0.1690
0.8588,-0.4856,-0.1768
0.8686,-0.4817,-0.1720
0.8735,-0.4836,-0.1583
0.8578,-0.4768,-0.1485
0.8637,-0.4719,-0.1397
0.8490,-0.4758,-0.1475
0.8588,-0.4807,-0.1622
0.8598,-0.4866,-0.1749
0.8647,-0.4895,-0.1759
0.8598,-0.4827,-0.1710
0.8530,-0.4836,-0.1602
0.8461,-0.4846,-0.1514
0.8432,-0.4866,-0.1563
0.8451,-0.4827,-0.1651
0.8471,-0.4856,-0.1710
0.8559,-0.4856,-0.1700
0.8608,-0.4856,-0.1602
0.8608,-0.4797,-0.1553
0.8598,-0.4797,-0.1466
0.8539,-0.4797,-0.1466
0.8510,-0.4827,-0.1514
0.8471,-0.4807,-0.1632
0.8490,-0.4827,-0.1729
0.8598,-0.4797,-0.1681
0.8647,-0.4778,-0.1622
0.8666,-0.4778,-0.1485
0.8666,-0.4768,-0.1368
0.8676,-0.4778,-0.1397
0.8569,-0.4787,-0.1456
0.8500,-0.4797,-0.1583
0.8569,-0.4827,-0.1690
0.8637,-0.4866,-0.1768
0.8657,-0.4856,-0.1700
0.8735,-0.4797,-0.1632
0.8715,-0.4797,-0.1514
0.8676,-0.4817,-0.1426
0.8608,-0.4856,-0.1397
0.8588,-0.4895,-0.1397
0.8510,-0.4846,-0.1583
0.8569,-0.4836,-0.1739
0.8637,-0.4895,-0.1808
0.8686,-0.4797,-0.1661
0.8578,-0.4729,-0.1495
0.8588,-0.4709,-0.1378
0.8569,-0.4758,-0.1329
0.8530,-0.4778,-0.1397
0.8530,-0.4768,-0.1534
0.8471,-0.4836,-0.1651
0.8530,-0.4807,-0.1720
0.8569,-0.4797,-0.1681
0.8510,-0.4729,-0.1622
0.8549,-0.4739,-0.1426
0.8598,-0.4700,-0.1339
0.8559,-0.4729,-0.1241
0.8412,-0.4758,-0.1221
0.8451,-0.4787,-0.1378
0.8569,-0.4758,-0.1524
0.8451,-0.4817,-0.1710
0.8588,-0.4787,-0.1847
0.8686,-0.4846,-0.1886
0.8754,-0.4827,-0.1749
0.8569,-0.4739,-0.1466
0.8559,-0.4856,-0.1319
0.8774,-0.4895,-0.1280
0.8578,-0.4944,-0.1417
0.8588,-0.4915,-0.1622
0.8617,-0.4934,-0.1759
0.8705,-0.4905,-0.1798
0.8735,-0.4944,-0.1710
0.8754,-0.4905,-0.1524
0.8735,-0.4875,-0.1387
0.8754,-0.4885,-0.1270
0.8657,-0.4983,-0.1319
0.8637,-0.4954,-0.1368
0.8588,-0.4983,-0.1368
0.8549,-0.4739,-0.1466
0.8686,-0.4875,-0.1407
0.8588,-0.4973,-0.1417
0.8559,-0.4807,-0.1495
0.8510,-0.4778,-0.1622
0.8617,-0.4895,-0.1651
0.8637,-0.4846,-0.1583
0.8510,-0.4787,-0.1387
0.8608,-0.4787,-0.1329
0.8617,-0.4778,-0.1348
0.8530,-0.4748,-0.1426
0.8539,-0.4758,-0.1544
0.8520,-0.4758,-0.1671
0.8569,-0.4768,-0.1671
0.8569,-0.4768,-0.1612
0.8617,-0.4709,-0.1495
0.8657,-0.4700,-0.1368
