x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.9849,-0.1339,0.0401
0.9849,-0.1368,0.0401
0.9976,-0.1329,0.0469
0.9917,-0.1348,0.0479
0.9917,-0.1329,0.0459
0.9878,-0.1339,0.0449
0.9976,-0.1329,0.0498
0.9956,-0.1368,0.0479
0.9897,-0.1348,0.0449
0.9888,-0.1348,0.0410
0.9966,-0.1339,0.0489
0.9936,-0.1358,0.0479
0.9927,-0.1329,0.0440
0.9907,-0.1348,0.0459
0.9907,-0.1348,0.0449
0.9888,-0.1339,0.0430
0.9936,-0.1319,0.0479
0.9936,-0.1348,0.0469
0.9927,-0.1329,0.0469
0.9907,-0.1329,0.0459
0.9917,-0.1339,0.0469
0.9907,-0.1358,0.0440
0.9946,-0.1339,0.0459
0.9936,-0.1339,0.0459
0.9946,-0.1309,0.0489
0.9946,-0.1339,0.0489
0.9917,-0.1358,0.0489
0.9917,-0.1339,0.0489
0.9946,-0.1358,0.0489
0.9917,-0.1348,0.0489
0.9927,-0.1339,0.0459
0.9917,-0.1319,0.0469
0.9946,-0.1319,0.0479
0.9956,-0.1348,0.0508
0.9917,-0.1329,0.0469
0.9907,-0.1339,0.0459
0.9927,-0.1329,0.0479
0.9907,-0.1339,0.0479
0.9927,-0.1339,0.0508
0.9907,-0.1339,0.0498
0.9917,-0.1348,0.0489
0.9927,-0.1339,0.0508
0.9927,-0.1339,0.0508
0.9927,-0.1329,0.0498
0.9946,-0.1329,0.0508
0.9917,-0.1358,0.0508
0.9907,-0.1329,0.0508
0.9927,-0.1348,0.0489
0.9927,-0.1358,0.0498
0.9917,-0.1348,0.0508
0.9936,-0.1348,0.0528
0.9936,-0.1329,0.0537
0.9936,-0.1358,0.0537
0.9888,-0.1348,0.0479
0.9917,-0.1358,0.0508
0.9927,-0.1348,0.0508
0.9897,-0.1358,0.0440
0.9897,-0.1329,0.0449
0.9936,-0.1348,0.0479
0.9907,-0.1358,0.0469
0.9907,-0.1358,0.0489
0.9897,-0.1329,0.0489
0.9897,-0.1358,0.0469
0.9936,-0.1339,0.0459
0.9936,-0.1339,0.0459
0.9946,-0.1329,0.0489
0.9927,-0.1348,0.0508
0.9927,-0.1329,0.0489
0.9897,-0.1348,0.0449
0.9976,-0.1348,0.0489
0.9888,-0.1329,0.0449
0.9927,-0.1348,0.0489
0.9927,-0.1348,0.0498
0.9927,-0.1348,0.0489
0.9917,-0.1358,0.0479
0.9917,-0.1348,0.0469
0.9936,-0.1339,0.0469
0.9907,-0.1339,0.0489
0.9956,-0.1339,0.0498
0.9907,-0.1358,0.0469
0.9936,-0.1339,0.0479
0.9897,-0.1348,0.0459
0.9946,-0.1368,0.0498
0.9936,-0.1339,0.0469
0.9907,-0.1348,0.0479
0.9907,-0.1339,0.0469
0.9936,-0.1339,0.0489
0.9956,-0.1339,0.0498
0.9917,-0.1348,0.0469
0.9917,-0.1339,0.0469
0.9936,-0.1348,0.0498
0.9946,-0.1348,0.0469
0.9907,-0.1339,0.0459
0.9936,-0.1329,0.0498
0.9946,-0.1358,0.0518
0.9927,-0.1339,0.0518
0.9907,-0.1339,0.0518
0.9888,-0.1339,0.0449
0.9927,-0.1339,0.0479
0.9936,-0.1339,0.0489
0.9936,-0.1358,0.0498
0.9927,-0.1339,0.0508
0.9917,-0.1339,0.0479
0.9936,-0.1319,0.0489
0.9907,-0.1339,0.0459
0.9936,-0.1339,0.0518
0.9917,-0.1339,0.0498
0.9936,-0.1348,0.0498
0.9897,-0.1339,0.0508
0.9897,-0.1348,0.0479
0.9946,-0.1348,0.0508
0.9897,-0.1339,0.0508
0.9897,-0.1339,0.0498
0.9936,-0.1329,0.0528
0.9936,-0.1339,0.0489
0.9917,-0.1329,0.0508
0.9907,-0.1339,0.0489
0.9946,-0.1329,0.0518
0.9907,-0.1319,0.0498
0.9907,-0.1348,0.0498
0.9907,-0.1339,0.0508
0.9936,-0.1329,0.0518
0.9907,-0.1339,0.0508
0.9927,-0.1339,0.0518
0.9927,-0.1348,0.0498
0.9927,-0.1348,0.0498
0.9917,-0.1339,0.0479
0.9917,-0.1348,0.0479
0.9985,-0.1329,0.0547
0.9927,-0.1339,0.0537
0.9927,-0.1348,0.0528
0.9897,-0.1329,0.0537
0.9907,-0.1319,0.0489
0.9936,-0.1329,0.0518
0.9936,-0.1339,0.0528
0.9907,-0.1329,0.0498
0.9936,-0.1329,0.0547
0.9946,-0.1329,0.0547
0.9897,-0.1329,0.0508
0.9927,-0.1329,0.0508
0.9927,-0.1339,0.0508
0.9927,-0.1329,0.0537
0.9927,-0.1348,0.0537
0.9917,-0.1348,0.0528
0.9917,-0.1329,0.0508
0.9927,-0.1348,0.0528
0.9897,-0.1329,0.0518
0.9946,-0.1329,0.0528
0.9917,-0.1309,0.0528
0.9927,-0.1319,0.0518
0.9936,-0.1339,0.0547
0.9917,-0.1348,0.0508
