x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.9673,-0.0752,0.2218
0.9741,-0.0830,0.2149
0.9829,-0.0879,0.2169
0.9761,-0.0801,0.2218
0.9770,-0.0743,0.2228
0.9741,-0.0723,0.2189
0.9751,-0.0733,0.2179
0.9702,-0.0791,0.2169
0.9751,-0.0791,0.2208
0.9702,-0.0782,0.2228
0.9722,-0.0762,0.2208
0.9790,-0.0801,0.2267
0.9761,-0.0762,0.2218
0.9751,-0.0752,0.2169
0.9741,-0.0782,0.2179
0.9741,-0.0782,0.2208
0.9741,-0.0830,0.2208
0.9751,-0.0811,0.2218
0.9751,-0.0772,0.2247
0.9731,-0.0801,0.2208
0.9751,-0.0811,0.2247
0.9741,-0.0821,0.2247
0.9800,-0.0791,0.2198
0.9751,-0.0772,0.2218
0.9741,-0.0733,0.2228
0.9761,-0.0782,0.2237
0.9741,-0.0791,0.2237
0.9770,-0.0899,0.2247
0.9741,-0.0928,0.2208
0.9770,-0.0850,0.2189
0.9731,-0.0723,0.2198
0.9682,-0.0655,0.2218
0.9761,-0.0772,0.2277
0.9722,-0.0821,0.2247
0.9712,-0.0840,0.2218
0.9722,-0.0840,0.2208
0.9761,-0.0821,0.2208
0.9790,-0.0840,0.2228
0.9790,-0.0821,0.2208
0.9751,-0.0762,0.2169
0.9761,-0.0782,0.2198
0.9751,-0.0821,0.2218
0.9722,-0.0830,0.2218
0.9722,-0.0850,0.2228
0.9741,-0.0811,0.2218
0.9770,-0.0821,0.2198
0.9741,-0.0811,0.2198
0.9770,-0.0782,0.2208
0.9751,-0.0821,0.2228
0.9761,-0.0821,0.2208
0.9751,-0.0811,0.2198
0.9731,-0.0811,0.2228
0.9780,-0.0782,0.2257
0.9751,-0.0811,0.2247
0.9761,-0.0821,0.2228
0.9741,-0.0801,0.2208
0.9741,-0.0752,0.2189
0.9731,-0.0713,0.2208
0.9722,-0.0762,0.2218
0.9761,-0.0791,0.2228
0.9751,-0.0811,0.2228
0.9731,-0.0801,0.2218
0.9761,-0.0772,0.2218
0.9761,-0.0723,0.2257
0.9741,-0.0713,0.2228
0.9780,-0.0733,0.2267
0.9741,-0.0752,0.2228
0.9761,-0.0801,0.2237
0.9702,-0.0791,0.2189
0.9702,-0.0772,0.2189
0.9761,-0.0782,0.2218
0.9751,-0.0772,0.2218
0.9731,-0.0723,0.2247
0.9761,-0.0723,0.2247
0.9761,-0.0733,0.2257
0.9751,-0.0772,0.2218
0.9741,-0.0743,0.2237
0.9770,-0.0791,0.2247
0.9770,-0.0733,0.2247
0.9751,-0.0713,0.2277
0.9722,-0.0674,0.2228
0.9682,-0.0674,0.2247
0.9702,-0.0694,0.2198
0.9800,-0.0743,0.2286
0.9722,-0.0684,0.2277
0.9751,-0.0664,0.2286
0.9731,-0.0655,0.2247
0.9682,-0.0703,0.2208
0.9751,-0.0782,0.2218
0.9800,-0.0782,0.2277
0.9770,-0.0772,0.2257
0.9722,-0.0694,0.2228
0.9741,-0.0694,0.2237
0.9751,-0.0713,0.2267
0.9751,-0.0703,0.2296
0.9731,-0.0713,0.2267
0.9722,-0.0713,0.2267
0.9731,-0.0733,0.2257
0.9731,-0.0733,0.2247
0.9761,-0.0733,0.2267
0.9751,-0.0743,0.2277
0.9692,-0.0733,0.2257
0.9731,-0.0782,0.2198
0.9770,-0.0733,0.2296
0.9780,-0.0723,0.2286
0.9702,-0.0625,0.2257
0.9722,-0.0684,0.2257
0.9722,-0.0791,0.2247
0.9839,-0.0840,0.2237
0.9673,-0.0733,0.2296
0.9682,-0.0703,0.2257
0.9751,-0.0743,0.2247
0.9800,-0.0791,0.2247
0.9731,-0.0674,0.2247
0.9731,-0.0684,0.2257
0.9731,-0.0743,0.2316
0.9731,-0.0791,0.2247
0.9731,-0.0762,0.2218
0.9751,-0.0752,0.2257
0.9761,-0.0762,0.2267
0.9731,-0.0752,0.2267
0.9722,-0.0743,0.2228
0.9731,-0.0733,0.2237
0.9751,-0.0821,0.2267
0.9741,-0.0791,0.2247
0.9731,-0.0703,0.2257
0.9702,-0.0694,0.2306
0.9761,-0.0762,0.2277
0.9770,-0.0791,0.2267
0.9751,-0.0772,0.2228
0.9712,-0.0713,0.2247
0.9712,-0.0752,0.2247
0.9751,-0.0821,0.2277
0.9751,-0.0811,0.2277
0.9702,-0.0743,0.2247
0.9731,-0.0772,0.2306
0.9790,-0.0752,0.2306
0.9751,-0.0723,0.2247
0.9722,-0.0694,0.2247
0.9722,-0.0723,0.2247
0.9731,-0.0782,0.2277
0.9751,-0.0801,0.2257
0.9731,-0.0801,0.2247
0.9751,-0.0811,0.2267
0.9741,-0.0811,0.2257
0.9770,-0.0743,0.2228
0.9751,-0.0713,0.2247
0.9731,-0.0733,0.2277
0.9751,-0.0772,0.2237
0.9702,-0.0772,0.2277
0.9731,-0.0772,0.2296
0.9731,-0.0791,0.2257
