x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
1.1031,-0.2511,-0.2589
1.1109,-0.1661,-0.2804
1.0767,-0.0801,-0.2472
1.0992,-0.0830,-0.2179
1.0933,-0.0899,-0.1749
1.0532,-0.0723,-0.1426
0.9614,-0.0645,-0.1622
0.8823,-0.0684,-0.2071
0.7396,-0.0723,-0.2247
0.6048,-0.1114,-0.2042
0.5159,-0.1690,-0.1720
0.5364,-0.2267,-0.1886
0.6282,-0.2638,-0.2013
0.6702,-0.3058,-0.2081
0.7044,-0.3244,-0.2032
0.8031,-0.3312,-0.2179
0.8784,-0.3381,-0.2638
0.9399,-0.3312,-0.3068
0.9790,-0.3312,-0.3439
1.0503,-0.3742,-0.3420
1.1685,-0.4045,-0.2912
1.1851,-0.4104,-0.2501
1.1666,-0.4006,-0.2521
1.1793,-0.4113,-0.2482
1.1939,-0.4260,-0.2335
1.2037,-0.4563,-0.2189
1.2936,-0.4240,-0.1983
1.2907,-0.2589,-0.1720
1.0562,-0.1573,-0.1358
0.9565,-0.1749,-0.1456
0.9839,-0.2511,-0.1671
0.9751,-0.2931,-0.1329
0.9565,-0.2472,-0.0743
0.9028,-0.1876,-0.0479
0.8569,-0.1426,-0.0410
0.8207,-0.1192,-0.0948
0.7973,-0.1124,-0.1456
0.7611,-0.1104,-0.1837
0.7005,-0.1163,-0.1749
0.6634,-0.1378,-0.1475
0.6488,-0.1622,-0.1417
0.6800,-0.1856,-0.1544
0.7308,-0.1974,-0.1974
0.7924,-0.2140,-0.2042
0.8862,-0.2169,-0.1983
1.0151,-0.2374,-0.2169
1.1695,-0.2589,-0.2521
1.2408,-0.2335,-0.2599
1.2760,-0.1710,-0.2804
1.2184,-0.1348,-0.3468
1.1871,-0.1935,-0.3683
1.1979,-0.2677,-0.3361
1.2350,-0.3048,-0.2325
1.2115,-0.2335,-0.2091
1.1216,-0.1221,-0.2013
0.9790,-0.0342,-0.2306
0.9370,-0.0703,-0.2384
0.9995,-0.0811,-0.2140
0.9985,-0.0889,-0.1788
0.9907,-0.0821,-0.1231
0.9477,-0.0879,-0.1114
0.8696,-0.0733,-0.1436
0.6790,-0.0997,-0.2071
0.6214,-0.1417,-0.2286
0.6234,-0.1837,-0.2189
0.6273,-0.2237,-0.2169
0.6282,-0.2618,-0.2404
0.6439,-0.2863,-0.2570
0.6878,-0.3068,-0.2589
0.7396,-0.3087,-0.2687
0.7797,-0.3019,-0.2902
0.8745,-0.3068,-0.3185
1.0054,-0.3615,-0.3185
1.0982,-0.3820,-0.2853
1.1480,-0.4035,-0.2570
1.2174,-0.4162,-0.2452
1.2535,-0.4231,-0.2501
1.3180,-0.4299,-0.2257
1.3894,-0.4270,-0.1847
1.5515,-0.3723,-0.1407
1.4939,-0.1886,-0.1055
1.1676,-0.0225,-0.1143
0.9878,-0.1466,-0.1475
0.9780,-0.2247,-0.1221
0.9487,-0.2550,-0.0743
0.9135,-0.2296,-0.0498
0.8842,-0.1837,-0.0469
0.8158,-0.1426,-0.0616
0.8080,-0.1055,-0.0987
0.7855,-0.0957,-0.1339
0.7738,-0.1085,-0.1514
0.7455,-0.1290,-0.1505
0.6722,-0.1368,-0.1163
0.6654,-0.1524,-0.1309
0.7035,-0.1720,-0.1681
0.7445,-0.1895,-0.1935
0.7934,-0.2022,-0.1944
0.8500,-0.2198,-0.1993
0.9604,-0.2452,-0.2198
1.0718,-0.2658,-0.2316
1.1470,-0.2941,-0.2355
1.1939,-0.2570,-0.2374
1.1822,-0.1808,-0.3136
1.1539,-0.2570,-0.3615
1.2125,-0.2833,-0.3283
1.2066,-0.3166,-0.2482
1.1666,-0.3097,-0.2091
1.1451,-0.2306,-0.1886
1.0992,-0.1221,-0.2062
1.0425,-0.0733,-0.2423
1.0357,-0.0694,-0.2443
1.0454,-0.0977,-0.2228
0.9839,-0.1192,-0.1661
0.9360,-0.1094,-0.1788
0.8285,-0.1124,-0.1964
0.6869,-0.1466,-0.2237
0.5892,-0.1856,-0.2335
0.5716,-0.2140,-0.2413
0.5745,-0.2374,-0.2384
0.6028,-0.2765,-0.2384
0.6361,-0.3156,-0.2032
0.6800,-0.3312,-0.2003
0.7699,-0.3166,-0.2599
0.8119,-0.3185,-0.2980
0.8578,-0.3390,-0.3127
0.9272,-0.4016,-0.3087
1.0171,-0.4524,-0.2736
1.1001,-0.4592,-0.2501
1.1588,-0.4553,-0.2364
1.2018,-0.4113,-0.2521
1.2135,-0.4231,-0.2599
1.2262,-0.5002,-0.2482
1.2819,-0.5628,-0.1964
1.3552,-0.5491,-0.1837
1.3454,-0.3928,-0.1661
1.0962,-0.2247,-0.1534
0.9213,-0.2462,-0.1456
0.9507,-0.3146,-0.1075
0.9301,-0.3781,-0.0840
0.9086,-0.4035,-0.0528
0.8676,-0.3205,-0.0606
0.8598,-0.2648,-0.0498
0.7562,-0.2091,-0.0537
