x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.8852,-0.5188,-0.1847
0.8784,-0.5002,-0.1700
0.8344,-0.5022,-0.1827
0.8745,-0.5081,-0.1798
0.8608,-0.5022,-0.1876
0.8510,-0.5081,-0.2149
0.8412,-0.4915,-0.2374
0.8627,-0.4944,-0.2325
0.8627,-0.5120,-0.2198
0.8549,-0.5071,-0.1886
0.8354,-0.4846,-0.1632
0.8305,-0.4758,-0.1671
0.8354,-0.4690,-0.1876
0.8168,-0.4797,-0.1788
0.8246,-0.4670,-0.1866
0.8295,-0.4895,-0.1856
0.8295,-0.4924,-0.1866
0.8197,-0.4709,-0.1944
0.8217,-0.4748,-0.2042
0.8383,-0.4807,-0.1954
0.8403,-0.4983,-0.1817
0.8305,-0.5081,-0.1485
0.8109,-0.4895,-0.1475
0.8139,-0.4885,-0.1935
0.8080,-0.4905,-0.2218
0.8500,-0.5178,-0.2277
0.8666,-0.5188,-0.2169
0.8549,-0.5090,-0.2003
0.8442,-0.4983,-0.1729
0.8422,-0.4934,-0.1426
0.8598,-0.5022,-0.1407
0.8696,-0.5247,-0.1524
0.8911,-0.5511,-0.1602
0.8930,-0.5608,-0.1671
0.8969,-0.5423,-0.1856
0.8696,-0.5471,-0.2120
0.8803,-0.5159,-0.2531
0.8725,-0.5051,-0.2726
0.8832,-0.5325,-0.2745
0.9077,-0.5227,-0.2433
0.8696,-0.5286,-0.1944
0.8549,-0.4758,-0.1798
0.8696,-0.5198,-0.1651
0.8940,-0.5237,-0.1710
0.8500,-0.5208,-0.2003
0.8735,-0.4963,-0.2179
0.8383,-0.4934,-0.2120
0.8295,-0.4875,-0.2091
0.8188,-0.4827,-0.2179
0.8510,-0.4885,-0.2081
0.8471,-0.5061,-0.1983
0.8510,-0.5071,-0.1886
0.8129,-0.4875,-0.1856
0.8363,-0.4690,-0.1915
0.8412,-0.4924,-0.1847
0.8393,-0.4944,-0.1720
0.8295,-0.4973,-0.1426
0.8041,-0.4817,-0.1358
0.8197,-0.4729,-0.1475
0.8266,-0.4817,-0.1622
0.8100,-0.4856,-0.1798
0.8334,-0.4768,-0.1974
0.8500,-0.5198,-0.2013
0.8530,-0.4944,-0.1837
0.8344,-0.4895,-0.1768
0.8276,-0.4973,-0.1768
0.8637,-0.5012,-0.1847
0.8461,-0.5061,-0.1866
0.8363,-0.5051,-0.1993
0.8637,-0.5208,-0.2101
0.8530,-0.5227,-0.2062
0.8549,-0.5012,-0.2179
0.8940,-0.5276,-0.2198
0.8881,-0.5276,-0.1993
0.8793,-0.5139,-0.1778
0.8657,-0.5090,-0.1700
0.8705,-0.5169,-0.1641
0.8578,-0.5237,-0.1641
0.8412,-0.5169,-0.1876
0.8598,-0.5178,-0.2179
0.8774,-0.5286,-0.2364
0.8881,-0.5139,-0.2335
0.8627,-0.4993,-0.1847
0.8334,-0.4924,-0.1632
0.8334,-0.4885,-0.1514
0.8305,-0.5071,-0.1632
0.8246,-0.5169,-0.1983
0.8510,-0.5051,-0.2237
0.8393,-0.5110,-0.2228
0.8285,-0.4885,-0.2228
0.8266,-0.4895,-0.1983
0.8080,-0.4836,-0.1935
0.8100,-0.4846,-0.1808
0.7953,-0.5002,-0.1729
0.8109,-0.4875,-0.1808
0.8276,-0.4924,-0.1808
0.8422,-0.5081,-0.1817
0.8588,-0.5149,-0.1729
0.8666,-0.5110,-0.1505
0.8334,-0.5012,-0.1466
0.8334,-0.5247,-0.1544
0.8549,-0.5071,-0.1729
0.8442,-0.5149,-0.2110
0.8451,-0.5237,-0.2335
0.8608,-0.5344,-0.2345
0.8754,-0.5178,-0.2130
0.8549,-0.5159,-0.1944
0.8666,-0.5237,-0.1817
0.8696,-0.5403,-0.1798
0.8764,-0.5315,-0.1671
0.8510,-0.5315,-0.1641
0.8666,-0.5335,-0.1847
0.8549,-0.5305,-0.1915
0.8598,-0.5110,-0.1983
0.8403,-0.5208,-0.2120
0.8588,-0.5139,-0.2169
0.8647,-0.5159,-0.2022
0.8510,-0.5120,-0.2003
0.8705,-0.5452,-0.1729
0.8393,-0.5266,-0.1690
0.8442,-0.5364,-0.1446
0.8461,-0.5208,-0.1573
0.8383,-0.5149,-0.2091
0.8324,-0.5061,-0.2374
0.8315,-0.5169,-0.2364
0.8393,-0.5002,-0.2198
0.8451,-0.5081,-0.1915
0.8363,-0.5100,-0.1514
0.8344,-0.4895,-0.1407
0.8256,-0.5090,-0.1524
0.8422,-0.5208,-0.1837
0.8608,-0.5393,-0.2022
0.8578,-0.5276,-0.2277
0.8578,-0.5217,-0.2159
0.8578,-0.5051,-0.1886
0.8461,-0.5061,-0.1505
0.8363,-0.4973,-0.1378
0.8217,-0.4963,-0.1514
0.8256,-0.5071,-0.1866
0.8539,-0.5159,-0.2110
0.8617,-0.5315,-0.2179
0.8784,-0.5178,-0.2071
0.8520,-0.5178,-0.1788
