x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.3781,-0.1036,0.1544
0.4201,-0.1358,0.1505
0.4670,-0.1544,0.1700
0.5471,-0.1505,0.2189
0.6644,-0.1368,0.3087
0.7865,-0.1514,0.3830
0.9253,-0.1895,0.4094
1.1011,-0.2267,0.3527
1.1568,-0.2599,0.3058
1.2936,-0.2618,0.3341
1.3679,-0.2130,0.4797
1.4030,-0.1964,0.5393
1.4040,-0.2286,0.3801
1.3737,-0.2140,0.4074
1.2809,-0.2218,0.6390
1.2193,-0.1661,0.7152
1.1656,-0.0596,0.7093
0.9595,0.0205,0.6194
0.7846,0.0840,0.6214
0.7357,0.0899,0.6663
0.7738,0.1251,0.6790
0.8012,0.1202,0.6947
0.6605,0.0928,0.5608
0.4905,0.0205,0.4768
0.5432,0.0381,0.2628
0.6224,0.0313,0.1387
0.6507,0.0440,0.1036
0.6497,0.0362,0.0870
0.6488,0.0244,0.1309
0.6605,-0.0020,0.1886
0.7123,-0.0039,0.2863
0.8696,0.0195,0.3429
1.0132,0.0029,0.3762
1.0747,-0.0098,0.4260
1.1930,0.0332,0.5901
1.3688,0.0977,0.6800
1.5496,0.0928,0.5432
1.5418,0.0332,0.3341
1.4704,0.0195,0.3517
1.4011,0.0078,0.4514
1.2135,0.0225,0.5569
1.0122,0.0430,0.5608
0.9262,0.1065,0.4905
0.7953,0.2716,0.5002
0.7396,0.3556,0.4836
0.6927,0.3732,0.4270
0.7201,0.3185,0.3273
0.6810,0.2198,0.3586
0.6448,0.0860,0.3234
0.5042,-0.0137,0.2775
0.4240,-0.0713,0.2296
0.4387,-0.1114,0.1964
0.4807,-0.1348,0.2179
0.6165,-0.1690,0.2570
0.7601,-0.1788,0.2589
0.8422,-0.2003,0.2443
0.8969,-0.2325,0.2589
0.9946,-0.2482,0.2531
1.1470,-0.2198,0.2824
1.2145,-0.2169,0.3625
1.2516,-0.1651,0.4504
1.3073,-0.1573,0.5423
1.3356,-0.1886,0.5237
1.3718,-0.2218,0.4309
1.4030,-0.1553,0.5589
1.3512,-0.1827,0.6781
1.2135,-0.0557,0.6800
1.0640,0.0078,0.6712
0.8627,0.0713,0.5686
0.7416,0.0811,0.5657
0.7220,0.0684,0.5872
0.7211,0.1094,0.6058
0.6976,0.1153,0.5970
0.6575,0.0840,0.5589
0.5862,0.0362,0.3459
0.6009,0.0234,0.1798
0.6507,0.0313,0.1182
0.6947,0.0293,0.1065
0.7318,0.0391,0.1456
0.6820,0.0156,0.2110
0.6536,0.0127,0.2482
0.7113,0.0166,0.3107
0.8246,0.0215,0.3771
0.9047,0.0166,0.4104
0.9516,-0.0088,0.3957
1.0542,-0.0137,0.4631
1.1441,-0.0117,0.5530
1.3170,0.0635,0.5335
1.4851,0.0655,0.3820
1.4831,0.0860,0.3302
1.4196,0.0625,0.4377
1.3854,0.0518,0.5442
1.2760,0.1104,0.6331
1.1383,0.1446,0.6282
0.8266,0.1495,0.3625
0.7426,0.2325,0.3508
0.7728,0.3009,0.3996
0.7680,0.3937,0.4064
0.6781,0.3566,0.4533
0.6615,0.2765,0.4582
0.6781,0.2052,0.3947
0.6185,0.0967,0.2843
0.5511,0.0205,0.2003
0.5432,-0.0420,0.2091
0.5745,-0.0889,0.2208
0.6165,-0.1290,0.2032
0.6722,-0.1466,0.1886
0.7084,-0.1524,0.1710
0.8031,-0.1446,0.1681
0.8959,-0.1407,0.1905
0.9819,-0.1514,0.2335
1.0513,-0.1573,0.2609
1.0904,-0.1553,0.3478
1.1138,-0.1798,0.4807
1.1422,-0.1817,0.5755
1.2477,-0.2247,0.5442
1.2848,-0.2306,0.5296
1.3425,-0.1935,0.6312
1.4275,-0.1602,0.8061
1.5027,-0.0020,0.8715
1.4099,0.1221,0.8119
1.1402,0.1671,0.5852
0.8735,0.1553,0.5149
0.8119,0.1075,0.4836
0.8070,0.1280,0.4768
0.6957,0.1319,0.4827
0.5901,0.0899,0.4680
0.4963,0.0401,0.4074
0.5305,0.0225,0.3078
0.5843,0.0420,0.2228
0.6458,0.0674,0.1690
0.6790,0.0625,0.1641
0.6419,0.0498,0.1788
0.6019,0.0176,0.2062
0.5852,0.0078,0.2394
0.6527,-0.0039,0.2980
0.8559,-0.0274,0.3644
0.9477,-0.0205,0.3810
0.9985,-0.0420,0.3830
1.0923,-0.0479,0.4172
1.2428,-0.0137,0.5061
1.4040,0.0840,0.5208
1.5252,0.1124,0.4573
1.5291,0.1221,0.3644
1.4411,0.1172,0.4309
1.4538,0.1524,0.5774
1.2838,0.1974,0.6917
1.0503,0.1925,0.5550
0.8481,0.1895,0.4162
0.7601,0.2443,0.3879
0.7328,0.3234,0.3791
0.7015,0.4240,0.3762
0.6097,0.4348,0.3986
0.6155,0.3566,0.4016
0.6429,0.3127,0.3244
0.5999,0.1671,0.2775
0.5471,0.0342,0.1925
0.5403,-0.0293,0.2081
