x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
1.0699,-0.1397,0.1573
1.0542,-0.1426,0.1407
1.0415,-0.1368,0.1671
0.9946,-0.1495,0.1456
1.0435,-0.1651,0.1681
1.0220,-0.1456,0.1661
0.9243,-0.1446,0.1622
0.9809,-0.1260,0.1339
0.9555,-0.1143,0.1221
0.9595,-0.1163,0.1358
0.9897,-0.1192,0.1378
0.9809,-0.1133,0.1163
0.9428,-0.1309,0.1358
0.9458,-0.1407,0.1593
0.9966,-0.1407,0.1544
1.0239,-0.1329,0.1524
0.9682,-0.1378,0.1456
0.9751,-0.1368,0.1524
0.9770,-0.1358,0.1553
0.9624,-0.1368,0.1895
0.9809,-0.1163,0.1417
0.9722,-0.1065,0.1329
0.9321,-0.1094,0.1378
0.8666,-0.0967,0.1514
0.8823,-0.0850,0.1798
0.9614,-0.0860,0.2159
0.8969,-0.1026,0.2540
0.9233,-0.1348,0.3674
0.9927,-0.1749,0.4377
0.9985,-0.1690,0.4309
1.0093,-0.1036,0.3302
1.0161,-0.1065,0.3449
0.9868,-0.0948,0.3781
1.0513,-0.1045,0.4162
1.1138,-0.1153,0.4231
1.1119,-0.1065,0.3410
1.0034,-0.1114,0.3801
1.0405,-0.1329,0.4260
1.0503,-0.1690,0.3859
1.0015,-0.1788,0.3234
1.0151,-0.1886,0.3312
0.9702,-0.2179,0.3898
0.9614,-0.2296,0.4680
0.9946,-0.2247,0.4221
0.8617,-0.2140,0.3801
0.7943,-0.2149,0.3947
0.7758,-0.2472,0.4446
0.7562,-0.2794,0.4700
0.7074,-0.1944,0.2814
0.7924,-0.2198,0.3087
0.7640,-0.3107,0.4377
0.7943,-0.3068,0.3723
0.8129,-0.2824,0.2970
0.7377,-0.2960,0.2931
0.8481,-0.3244,0.3527
0.8305,-0.3576,0.4240
0.7865,-0.3537,0.4348
0.7435,-0.3156,0.3429
0.8236,-0.3263,0.4123
0.9761,-0.3341,0.3869
0.9702,-0.3283,0.4514
0.9868,-0.3381,0.4162
0.9741,-0.3322,0.3517
0.9712,-0.3312,0.3048
0.9497,-0.3175,0.2892
0.9145,-0.3078,0.2745
0.8451,-0.2990,0.2443
0.8471,-0.2892,0.2149
0.8598,-0.3117,0.2237
0.8227,-0.3302,0.2404
0.9096,-0.3312,0.2110
0.8266,-0.3224,0.2335
0.9370,-0.3302,0.2345
0.9243,-0.3234,0.2101
0.9477,-0.3283,0.2228
0.9682,-0.3224,0.2130
0.9526,-0.3351,0.1944
0.9321,-0.3293,0.2071
0.8950,-0.3263,0.2189
0.8950,-0.3214,0.2149
0.9565,-0.3234,0.2208
0.9301,-0.3224,0.2120
0.9047,-0.3254,0.2071
0.9096,-0.3332,0.2149
0.9458,-0.3420,0.2345
0.9497,-0.3361,0.2208
0.9174,-0.3332,0.2022
0.9223,-0.3293,0.2062
0.9282,-0.3224,0.2081
0.9057,-0.3195,0.1974
0.9038,-0.3185,0.1915
0.9174,-0.3195,0.2032
0.9282,-0.3273,0.2159
0.9301,-0.3293,0.2247
0.9331,-0.3302,0.2208
0.9389,-0.3283,0.2062
0.9204,-0.3263,0.2032
0.9282,-0.3224,0.2149
0.9321,-0.3254,0.2130
0.9262,-0.3214,0.2022
0.9428,-0.3263,0.2101
0.9194,-0.3244,0.1993
0.9067,-0.3302,0.2091
0.9165,-0.3312,0.2169
0.9067,-0.3283,0.2120
0.8989,-0.3244,0.2042
0.9331,-0.3185,0.2101
0.9272,-0.3166,0.2120
0.9282,-0.3254,0.2198
0.9331,-0.3322,0.2198
0.9272,-0.3312,0.2159
0.9370,-0.3293,0.2159
0.9360,-0.3283,0.2189
0.9243,-0.3263,0.2198
0.9243,-0.3224,0.2169
0.9135,-0.3205,0.2149
0.9086,-0.3234,0.2179
0.9057,-0.3263,0.2218
0.9292,-0.3234,0.2218
0.9380,-0.3244,0.2237
0.9292,-0.3195,0.2218
0.9233,-0.3254,0.2208
0.9292,-0.3234,0.2218
0.9360,-0.3234,0.2237
0.9194,-0.3244,0.2208
0.9223,-0.3302,0.2257
0.9213,-0.3263,0.2237
0.9174,-0.3283,0.2237
0.9165,-0.3293,0.2198
0.9086,-0.3283,0.2179
0.9321,-0.3263,0.2335
0.9370,-0.3234,0.2306
0.9086,-0.3205,0.2218
0.9165,-0.3214,0.2189
0.9311,-0.3263,0.2267
0.9370,-0.3312,0.2335
0.9262,-0.3302,0.2286
0.9008,-0.3254,0.2208
0.9213,-0.3244,0.2257
0.9331,-0.3214,0.2286
0.9301,-0.3214,0.2277
0.9096,-0.3195,0.2218
0.9184,-0.3205,0.2237
0.9233,-0.3195,0.2296
0.9155,-0.3263,0.2277
0.9135,-0.3234,0.2316
0.9350,-0.3273,0.2345
0.9409,-0.3263,0.2345
0.9204,-0.3224,0.2267
0.9331,-0.3224,0.2296
0.9272,-0.3234,0.2286
0.9253,-0.3244,0.2296
