x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.5540,-0.7504,0.3791
0.5559,-0.7543,0.3781
0.5511,-0.7553,0.3791
0.5481,-0.7523,0.3801
0.5491,-0.7533,0.3801
0.5511,-0.7553,0.3820
0.5471,-0.7484,0.3791
0.5462,-0.7523,0.3791
0.5471,-0.7523,0.3791
0.5511,-0.7504,0.3791
0.5501,-0.7513,0.3791
0.5530,-0.7553,0.3820
0.5520,-0.7513,0.3820
0.5569,-0.7523,0.3781
0.5550,-0.7523,0.3791
0.5520,-0.7533,0.3820
0.5520,-0.7533,0.3791
0.5491,-0.7533,0.3801
0.5491,-0.7533,0.3771
0.5481,-0.7504,0.3801
0.5481,-0.7513,0.3820
0.5501,-0.7533,0.3791
0.5501,-0.7553,0.3830
0.5481,-0.7504,0.3820
0.5540,-0.7523,0.3810
0.5511,-0.7513,0.3801
0.5501,-0.7533,0.3810
0.5520,-0.7523,0.3810
0.5501,-0.7523,0.3791
0.5511,-0.7513,0.3762
0.5501,-0.7523,0.3762
0.5511,-0.7523,0.3781
0.5511,-0.7533,0.3810
0.5481,-0.7513,0.3791
0.5530,-0.7523,0.3791
0.5511,-0.7513,0.3801
0.5511,-0.7523,0.3830
0.5471,-0.7523,0.3801
0.5530,-0.7543,0.3820
0.5520,-0.7494,0.3781
0.5481,-0.7553,0.3791
0.5520,-0.7533,0.3801
0.5530,-0.7494,0.3810
0.5540,-0.7504,0.3810
0.5501,-0.7523,0.3820
0.5530,-0.7543,0.3742
0.5520,-0.7562,0.3762
0.5511,-0.7513,0.3791
0.5462,-0.7513,0.3820
0.5462,-0.7523,0.3830
0.5481,-0.7543,0.3791
0.5481,-0.7533,0.3801
0.5471,-0.7504,0.3810
0.5481,-0.7523,0.3781
0.5569,-0.7523,0.3771
0.5550,-0.7553,0.3801
0.5520,-0.7513,0.3781
0.5540,-0.7523,0.3771
0.5550,-0.7513,0.3752
0.5511,-0.7533,0.3752
0.5520,-0.7543,0.3791
0.5481,-0.7533,0.3810
0.5491,-0.7513,0.3801
0.5471,-0.7513,0.3820
0.5511,-0.7523,0.3810
0.5491,-0.7523,0.3791
0.5481,-0.7553,0.3830
0.5520,-0.7533,0.3762
0.5530,-0.7504,0.3771
0.5491,-0.7513,0.3781
0.5520,-0.7504,0.3801
0.5501,-0.7533,0.3771
0.5520,-0.7543,0.3810
0.5511,-0.7533,0.3820
0.5530,-0.7513,0.3791
0.5530,-0.7504,0.3810
0.5501,-0.7523,0.3810
0.5520,-0.7533,0.3810
0.5491,-0.7523,0.3801
0.5520,-0.7523,0.3781
0.5520,-0.7513,0.3771
0.5462,-0.7513,0.3801
0.5530,-0.7543,0.3791
0.5471,-0.7474,0.3791
0.5559,-0.7494,0.3781
0.5520,-0.7533,0.3810
0.5511,-0.7553,0.3810
0.5511,-0.7504,0.3771
0.5520,-0.7523,0.3859
0.5511,-0.7504,0.3791
0.5452,-0.7513,0.3791
0.5491,-0.7513,0.3801
0.5501,-0.7533,0.3781
0.5511,-0.7504,0.3781
0.5471,-0.7553,0.3820
0.5550,-0.7533,0.3801
0.5540,-0.7533,0.3830
0.5520,-0.7523,0.3791
0.5550,-0.7543,0.3810
0.5511,-0.7513,0.3771
0.5520,-0.7523,0.3762
0.5511,-0.7504,0.3762
0.5511,-0.7543,0.3791
0.5481,-0.7504,0.3791
0.5491,-0.7523,0.3771
0.5501,-0.7523,0.3771
0.5520,-0.7513,0.3781
0.5511,-0.7533,0.3840
0.5491,-0.7513,0.3801
0.5520,-0.7533,0.3791
0.5530,-0.7523,0.3810
0.5530,-0.7504,0.3810
0.5471,-0.7513,0.3791
0.5559,-0.7523,0.3781
0.5520,-0.7543,0.3801
0.5481,-0.7504,0.3791
0.5501,-0.7513,0.3781
0.5530,-0.7513,0.3771
0.5540,-0.7504,0.3771
0.5511,-0.7533,0.3810
0.5559,-0.7553,0.3801
0.5520,-0.7533,0.3801
0.5511,-0.7533,0.3781
0.5511,-0.7553,0.3762
0.5501,-0.7504,0.3781
0.5452,-0.7465,0.3830
0.5569,-0.7513,0.3801
0.5540,-0.7543,0.3801
0.5462,-0.7553,0.3801
0.5511,-0.7523,0.3820
0.5501,-0.7504,0.3850
0.5452,-0.7504,0.3781
0.5501,-0.7504,0.3801
0.5511,-0.7533,0.3810
0.5481,-0.7533,0.3791
0.5481,-0.7513,0.3771
0.5530,-0.7513,0.3830
0.5530,-0.7553,0.3781
0.5520,-0.7533,0.3801
0.5559,-0.7504,0.3830
0.5520,-0.7533,0.3791
0.5452,-0.7513,0.3791
0.5530,-0.7543,0.3801
0.5589,-0.7523,0.3771
0.5413,-0.7504,0.3801
0.5511,-0.7523,0.3850
0.5540,-0.7553,0.3869
0.5471,-0.7533,0.3840
0.5481,-0.7533,0.3850
0.5511,-0.7533,0.3840
0.5471,-0.7504,0.3801
0.5520,-0.7523,0.3820
