x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
1.0503,0.1915,0.2980
1.0904,0.2110,0.2169
1.0884,0.2110,0.1905
1.0923,0.2101,0.1856
1.0835,0.1983,0.1426
1.0777,0.1798,0.1045
1.0953,0.1729,0.0801
1.0953,0.1749,0.0821
1.1470,0.1798,0.1006
1.1988,0.1446,0.1075
1.1470,0.1212,0.0909
1.0865,0.1036,0.0879
1.0572,0.0772,0.0987
1.0816,0.0518,0.0948
1.1001,0.0557,0.0694
1.1304,0.0655,0.0733
1.1226,0.0616,0.1036
1.0874,0.0713,0.1163
1.0660,0.0899,0.1143
1.0513,0.1016,0.1065
1.0689,0.1358,0.1221
1.0572,0.1720,0.1563
1.0278,0.2130,0.1808
1.0122,0.2667,0.1436
0.9829,0.3078,0.0743
0.9624,0.3156,0.0381
0.9653,0.3019,0.0664
1.0523,0.2980,0.0762
1.0747,0.2960,0.0498
1.0112,0.3009,-0.0147
0.8891,0.2765,-0.0821
0.8647,0.2443,-0.0997
0.8813,0.2101,-0.0948
0.8784,0.1935,-0.0752
0.8862,0.1935,-0.0440
0.8901,0.2179,-0.0264
0.8813,0.2306,-0.0098
0.9086,0.2237,0.0088
0.9409,0.2267,0.0088
0.9360,0.2404,0.0049
0.9331,0.2452,0.0166
0.9546,0.2452,0.0313
0.9800,0.2697,0.0322
0.9809,0.2853,0.0215
0.9682,0.2785,0.0186
0.9526,0.2736,0.0313
0.9585,0.2833,0.0430
0.9507,0.3185,0.0440
0.9468,0.3371,0.0381
0.9389,0.3566,0.0401
0.9380,0.3820,0.0410
0.9282,0.4231,0.0606
0.9165,0.4348,0.0733
0.8920,0.4367,0.0772
0.8774,0.4387,0.0743
0.8862,0.4387,0.0713
0.8969,0.4358,0.0703
0.8686,0.4191,0.0791
0.8305,0.4016,0.0889
0.8627,0.3801,0.1114
0.9301,0.3693,0.1212
0.8979,0.3625,0.1339
0.8588,0.3195,0.1299
0.8657,0.2775,0.1720
0.8490,0.2355,0.2042
0.8832,0.1778,0.2120
0.8754,0.1260,0.2355
0.8168,0.0928,0.2745
0.8109,0.0830,0.2980
0.9428,0.0870,0.3478
0.9145,0.1045,0.3527
0.7699,0.1163,0.3723
0.7230,0.2169,0.3283
0.6654,0.3185,0.3058
0.6409,0.4289,0.3087
0.7103,0.5315,0.3605
0.6282,0.5989,0.5169
0.6048,0.6986,0.5725
0.5970,0.7875,0.5559
0.6214,0.8412,0.5012
0.6116,0.9008,0.4827
0.5364,0.9477,0.5071
0.5579,0.9663,0.4494
0.4700,1.0562,0.4016
0.5813,1.0054,0.4025
0.6028,0.9878,0.3048
0.7015,0.9536,0.3097
0.7982,0.9184,0.3449
0.8715,0.9487,0.3136
0.8500,0.9897,0.2648
0.6859,0.9907,0.2745
0.7797,0.9301,0.3039
0.8363,0.9038,0.2814
0.6702,0.8745,0.1045
0.6488,0.8090,0.0362
0.6097,0.7631,-0.0977
0.6273,0.7211,-0.1700
0.7025,0.6790,-0.1495
0.7484,0.6155,-0.1641
0.7660,0.5755,-0.1651
0.7680,0.5784,-0.1778
0.7250,0.5305,-0.1895
0.7504,0.4993,-0.2120
0.7787,0.5042,-0.2335
0.7406,0.4846,-0.2013
0.7298,0.4670,-0.2081
0.7709,0.4621,-0.2101
0.7709,0.4660,-0.2042
0.7689,0.4533,-0.1632
0.7807,0.4494,-0.1417
0.7719,0.4436,-0.1221
0.7670,0.4563,-0.0850
0.7719,0.4543,-0.0381
0.8168,0.4524,0.0088
0.9018,0.4807,0.0332
0.9438,0.4915,0.0489
0.9292,0.4973,0.1104
0.9106,0.5100,0.1553
0.9067,0.5090,0.1573
0.8666,0.5032,0.1602
0.8305,0.4963,0.1661
0.8012,0.4827,0.1798
0.8168,0.4768,0.2237
0.7973,0.4856,0.2638
0.7640,0.4846,0.2970
0.8090,0.4875,0.3742
0.7816,0.4885,0.4201
0.6937,0.4983,0.4651
0.7201,0.4748,0.5217
0.7416,0.4494,0.5462
0.7250,0.4406,0.5677
0.7689,0.4182,0.5657
0.6732,0.3810,0.5911
0.5735,0.3752,0.6595
0.6155,0.3723,0.7054
0.5911,0.3625,0.7084
0.5843,0.3644,0.7035
0.5110,0.3625,0.7445
0.5129,0.3869,0.7787
0.5520,0.4045,0.8754
0.2833,0.4358,1.0259
0.3928,0.4778,0.9174
0.6058,0.9946,0.1788
1.4323,0.6566,0.5061
0.5169,0.6849,1.0532
0.6488,0.6282,0.7738
0.9477,0.3556,0.7064
0.6497,0.4211,0.5970
0.8500,0.2550,0.4377
0.5745,0.2970,0.4465
0.4582,0.2228,0.5960
0.3127,0.1944,0.7386
0.4592,0.1505,0.6585
0.1827,0.2628,0.6849
0.3879,0.0674,0.7455
0.1055,0.1710,0.7953
0.4250,0.2755,0.8305
0.6751,0.4436,0.8745
0.5735,0.4104,1.0826
0.8530,0.5589,0.9458
