x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.3107,-0.0430,-0.9663
0.2990,-0.0616,-0.9399
0.3302,-0.0567,-0.9907
0.3459,-0.0264,-0.9839
0.3234,-0.0723,-0.9565
0.3273,-0.0537,-0.9634
0.3273,-0.0586,-0.9555
0.3156,-0.0645,-0.9487
0.3068,-0.0440,-0.9712
0.3234,-0.0440,-0.9751
0.3136,-0.0508,-0.9663
0.3214,-0.0567,-0.9565
0.3175,-0.0537,-0.9614
0.3214,-0.0518,-0.9702
0.3234,-0.0508,-0.9741
0.3244,-0.0547,-0.9702
0.3214,-0.0518,-0.9643
0.3136,-0.0576,-0.9565
0.3263,-0.0489,-0.9692
0.3244,-0.0537,-0.9692
0.3185,-0.0518,-0.9643
0.3175,-0.0586,-0.9487
0.3322,-0.0459,-0.9712
0.3449,-0.0528,-0.9692
0.3283,-0.0625,-0.9585
0.3244,-0.0606,-0.9614
0.3254,-0.0518,-0.9673
0.3224,-0.0567,-0.9624
0.3175,-0.0576,-0.9604
0.3312,-0.0645,-0.9565
0.3156,-0.0576,-0.9555
0.3400,-0.0410,-0.9927
0.3351,-0.0430,-0.9516
0.3175,-0.0772,-0.9663
0.3273,-0.0205,-0.9741
0.3214,-0.0586,-0.9575
0.3214,-0.0410,-0.9624
0.3234,-0.0528,-0.9624
0.3205,-0.0508,-0.9692
0.3166,-0.0449,-0.9839
0.3117,-0.0420,-0.9790
0.2951,-0.0645,-0.9311
0.3244,-0.0567,-0.9927
0.3439,-0.0322,-0.9663
0.3332,-0.0723,-0.9585
0.3019,-0.0528,-0.9555
0.3185,-0.0567,-0.9614
0.3195,-0.0449,-0.9780
0.3244,-0.0459,-0.9673
0.3234,-0.0586,-0.9624
0.3234,-0.0528,-0.9624
0.3224,-0.0547,-0.9643
0.3293,-0.0518,-0.9722
0.3293,-0.0547,-0.9634
0.3263,-0.0576,-0.9604
0.3166,-0.0537,-0.9614
0.3214,-0.0537,-0.9643
0.3205,-0.0518,-0.9634
0.3283,-0.0528,-0.9692
0.3381,-0.0567,-0.9643
0.3234,-0.0547,-0.9565
0.3136,-0.0557,-0.9653
0.3214,-0.0489,-0.9663
0.3322,-0.0528,-0.9722
0.3322,-0.0537,-0.9663
0.3195,-0.0567,-0.9604
0.3146,-0.0508,-0.9624
0.3302,-0.0528,-0.9702
0.3332,-0.0518,-0.9634
0.3263,-0.0596,-0.9663
0.3263,-0.0586,-0.9575
0.3205,-0.0547,-0.9604
0.3283,-0.0537,-0.9682
0.3293,-0.0498,-0.9702
0.3293,-0.0557,-0.9643
0.3175,-0.0557,-0.9565
0.3195,-0.0576,-0.9585
0.3283,-0.0635,-0.9604
0.3322,-0.0547,-0.9682
0.3224,-0.0576,-0.9614
0.3390,-0.0537,-0.9595
0.3361,-0.0586,-0.9663
0.3537,-0.0459,-0.9770
0.3234,-0.0508,-0.9340
0.3429,-0.0655,-0.9722
0.3283,-0.0410,-0.9653
0.3449,-0.0557,-0.9634
0.3273,-0.0576,-0.9614
0.3302,-0.0469,-0.9663
0.3224,-0.0498,-0.9634
0.3341,-0.0459,-0.9722
0.3498,-0.0567,-0.9663
0.3283,-0.0674,-0.9184
0.3283,-0.0537,-0.9946
0.3273,-0.0459,-0.9575
0.3175,-0.0674,-0.9595
0.3283,-0.0518,-0.9663
0.3390,-0.0625,-0.9692
0.3293,-0.0557,-0.9536
0.3146,-0.0528,-0.9546
0.3341,-0.0547,-0.9595
0.3322,-0.0567,-0.9624
0.3263,-0.0576,-0.9555
0.3244,-0.0576,-0.9624
0.3332,-0.0489,-0.9653
0.3322,-0.0528,-0.9682
0.3371,-0.0606,-0.9604
0.3381,-0.0645,-0.9565
0.3332,-0.0645,-0.9516
0.3449,-0.0498,-0.9780
0.3332,-0.0567,-0.9409
0.3234,-0.0733,-0.9731
0.3312,-0.0674,-0.9585
0.3254,-0.0469,-0.9624
0.3302,-0.0508,-0.9770
0.3185,-0.0518,-0.9614
0.3302,-0.0616,-0.9555
0.3273,-0.0537,-0.9634
0.3429,-0.0528,-0.9702
0.3302,-0.0489,-0.9673
0.3175,-0.0557,-0.9614
0.3214,-0.0557,-0.9643
0.3302,-0.0713,-0.9595
0.3019,-0.0655,-0.9555
0.2902,-0.0684,-0.9477
0.3146,-0.0625,-0.9663
0.3508,-0.0625,-0.9585
0.3283,-0.0557,-0.9536
0.3703,-0.0440,-0.9565
0.3830,-0.0440,-0.9458
0.3703,-0.0449,-0.9516
0.3830,-0.0576,-0.9448
0.3762,-0.0430,-0.9516
0.3644,-0.0430,-0.9507
0.3693,-0.0518,-0.9458
0.3683,-0.0537,-0.9370
0.3781,-0.0537,-0.9468
0.3742,-0.0469,-0.9516
0.3742,-0.0537,-0.9419
0.3674,-0.0528,-0.9497
0.3723,-0.0508,-0.9546
0.3713,-0.0557,-0.9458
0.3723,-0.0576,-0.9458
