x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.2785,-0.0274,-0.9858
0.2550,-0.0254,-0.9966
0.2902,-0.0274,-0.9761
0.2824,-0.0293,-0.9809
0.3136,-0.0176,-0.9780
0.2970,-0.0303,-0.9770
0.2863,-0.0156,-0.9936
0.3234,-0.0410,-0.9624
0.2667,-0.0440,-0.9858
0.2599,-0.0195,-0.9878
0.3048,-0.0430,-0.9702
0.2833,-0.0176,-0.9878
0.2824,-0.0098,-1.0064
0.2853,-0.0098,-0.9800
0.2618,-0.0049,-0.9995
0.2853,0.0020,-1.0269
0.2257,0.0137,-0.9409
0.2882,-0.0420,-0.9340
0.2775,0.0283,-0.9086
0.2677,-0.0156,-0.9712
0.3527,0.0449,-1.0093
0.3762,-0.0049,-1.0142
0.2833,0.0176,-1.0034
0.3254,-0.0332,-0.9634
0.2872,-0.0225,-0.9682
0.2990,-0.0264,-0.9809
0.2872,-0.0244,-0.9731
0.3039,-0.0430,-0.9614
0.3117,-0.0479,-0.9575
0.3205,-0.0313,-0.9790
0.3175,-0.0195,-0.9809
0.3166,-0.0274,-0.9780
0.3146,-0.0254,-0.9682
0.3029,-0.0264,-0.9712
0.2951,-0.0244,-0.9692
0.2951,-0.0234,-0.9770
0.3078,-0.0234,-0.9770
0.3127,-0.0244,-0.9682
0.3156,-0.0332,-0.9614
0.3166,-0.0303,-0.9790
0.3068,-0.0254,-0.9761
0.3068,-0.0283,-0.9741
0.3029,-0.0283,-0.9722
0.2970,-0.0342,-0.9614
0.2951,-0.0244,-0.9761
0.3107,-0.0322,-0.9751
0.2960,-0.0215,-0.9819
0.3087,-0.0352,-0.9643
0.3000,-0.0362,-0.9663
0.2902,-0.0244,-0.9790
0.2960,-0.0234,-0.9761
0.3009,-0.0283,-0.9770
0.3000,-0.0264,-0.9712
0.3058,-0.0303,-0.9751
0.2882,-0.0264,-0.9751
0.3009,-0.0313,-0.9692
0.2990,-0.0225,-0.9780
0.2960,-0.0264,-0.9741
0.3029,-0.0274,-0.9761
0.2921,-0.0303,-0.9722
0.3009,-0.0254,-0.9790
0.2990,-0.0274,-0.9722
0.3068,-0.0313,-0.9722
0.2941,-0.0274,-0.9731
0.3000,-0.0303,-0.9770
0.2902,-0.0274,-0.9780
0.2990,-0.0303,-0.9731
0.3019,-0.0293,-0.9702
0.3009,-0.0293,-0.9741
0.2912,-0.0244,-0.9819
0.2912,-0.0283,-0.9800
0.2912,-0.0264,-0.9731
0.3039,-0.0293,-0.9722
0.2990,-0.0293,-0.9780
0.3000,-0.0303,-0.9722
0.2980,-0.0322,-0.9751
0.3029,-0.0313,-0.9761
0.2980,-0.0283,-0.9770
0.2921,-0.0293,-0.9731
0.2980,-0.0313,-0.9722
0.2941,-0.0303,-0.9751
0.2980,-0.0293,-0.9770
0.2921,-0.0322,-0.9751
0.3019,-0.0293,-0.9751
0.2902,-0.0283,-0.9731
0.3000,-0.0313,-0.9722
0.2941,-0.0283,-0.9780
0.3000,-0.0313,-0.9731
0.2970,-0.0293,-0.9741
0.2960,-0.0332,-0.9751
0.2970,-0.0264,-0.9800
0.2902,-0.0303,-0.9731
0.2902,-0.0313,-0.9722
0.2990,-0.0293,-0.9780
0.2970,-0.0313,-0.9770
0.2990,-0.0322,-0.9741
0.2941,-0.0283,-0.9741
0.2960,-0.0342,-0.9741
0.2990,-0.0274,-0.9829
0.2912,-0.0303,-0.9770
0.2960,-0.0313,-0.9731
0.2921,-0.0293,-0.9800
0.2941,-0.0283,-0.9790
0.2980,-0.0283,-0.9761
0.2970,-0.0342,-0.9722
0.2960,-0.0283,-0.9790
0.2960,-0.0293,-0.9751
0.2960,-0.0303,-0.9780
0.2863,-0.0293,-0.9780
0.2970,-0.0342,-0.9722
0.3029,-0.0283,-0.9809
0.2941,-0.0283,-0.9751
0.2902,-0.0283,-0.9770
0.2931,-0.0303,-0.9780
0.2990,-0.0283,-0.9790
0.2931,-0.0303,-0.9741
0.2970,-0.0283,-0.9731
0.2921,-0.0303,-0.9770
0.2951,-0.0332,-0.9722
0.3000,-0.0303,-0.9780
0.2902,-0.0322,-0.9761
0.3029,-0.0322,-0.9712
0.2853,-0.0254,-0.9809
0.2960,-0.0303,-0.9780
0.2863,-0.0274,-0.9770
0.2941,-0.0283,-0.9790
0.2931,-0.0293,-0.9731
0.2931,-0.0303,-0.9761
0.2882,-0.0274,-0.9780
0.2941,-0.0264,-0.9770
0.2941,-0.0313,-0.9722
0.2941,-0.0313,-0.9761
0.3009,-0.0322,-0.9790
0.2902,-0.0274,-0.9770
0.3019,-0.0303,-0.9761
0.2990,-0.0283,-0.9741
0.2970,-0.0313,-0.9731
0.2951,-0.0303,-0.9790
0.2785,-0.0264,-0.9829
0.2892,-0.0303,-0.9712
0.2872,-0.0264,-0.9790
0.2824,-0.0264,-0.9800
0.2931,-0.0254,-0.9770
