x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.8813,-0.1426,0.6038
0.9057,-0.1290,0.5901
0.8950,-0.1202,0.5296
0.8627,-0.1309,0.5393
0.8764,-0.1475,0.5481
0.8578,-0.1485,0.5217
0.8686,-0.1514,0.5002
0.8617,-0.1573,0.5032
0.8774,-0.1622,0.5129
0.8490,-0.1651,0.5256
0.8617,-0.1602,0.5100
0.8715,-0.1602,0.5061
0.8764,-0.1671,0.4885
0.8383,-0.1808,0.4934
0.8608,-0.1886,0.4963
0.8266,-0.1944,0.4944
0.8608,-0.1964,0.4680
0.8588,-0.2013,0.4631
0.8588,-0.2081,0.4748
0.8266,-0.2062,0.4983
0.8598,-0.2071,0.4817
0.8696,-0.1964,0.4729
0.8813,-0.2120,0.4680
0.9116,-0.1641,0.4416
0.8490,-0.1935,0.4690
0.8276,-0.1759,0.4533
0.8647,-0.1778,0.4240
0.8657,-0.1817,0.4289
0.8832,-0.1651,0.4436
0.8598,-0.1778,0.4700
0.8715,-0.1798,0.4768
0.8705,-0.1905,0.4651
0.8510,-0.1983,0.4436
0.8627,-0.1983,0.4416
0.8686,-0.2110,0.4651
0.8471,-0.2130,0.4602
0.8598,-0.2189,0.4494
0.8676,-0.2198,0.4514
0.8754,-0.2169,0.4651
0.8823,-0.2159,0.4739
0.8784,-0.2198,0.4983
0.8832,-0.2149,0.4709
0.8735,-0.2091,0.4455
0.8784,-0.2071,0.4670
0.8940,-0.2189,0.4807
0.8569,-0.2022,0.4670
0.8539,-0.2003,0.4563
0.8852,-0.2003,0.4387
0.8725,-0.2032,0.4377
0.8500,-0.2022,0.4397
0.8442,-0.2003,0.4240
0.8676,-0.1866,0.4485
0.8637,-0.1886,0.4739
0.8715,-0.1856,0.4836
0.8705,-0.1798,0.4934
0.8725,-0.1837,0.4924
0.8813,-0.1827,0.4817
0.9057,-0.1847,0.4797
0.8813,-0.1974,0.4709
0.8940,-0.1681,0.4563
0.8862,-0.1690,0.4807
0.8451,-0.1808,0.4338
0.8442,-0.1720,0.4367
0.8324,-0.1827,0.4123
0.9106,-0.1964,0.4563
0.8686,-0.1944,0.4387
0.8510,-0.1827,0.4309
0.8578,-0.1768,0.4475
0.8598,-0.1788,0.4758
0.8539,-0.1495,0.4670
0.8842,-0.1505,0.4475
0.8442,-0.1475,0.4446
0.8530,-0.1524,0.4739
0.8725,-0.1544,0.4807
0.8549,-0.1495,0.4592
0.8451,-0.1456,0.4485
0.8500,-0.1475,0.4387
0.8647,-0.1466,0.4436
0.8686,-0.1485,0.4309
0.8823,-0.1466,0.4260
0.8735,-0.1446,0.3937
0.9057,-0.1309,0.3693
0.9477,-0.1231,0.3390
0.9340,-0.0967,0.3234
0.9380,-0.0752,0.2824
1.0044,-0.0518,0.2628
1.0239,-0.0489,0.2755
0.9536,-0.0547,0.2404
0.9155,-0.0420,0.1983
0.9194,-0.0322,0.1446
0.8256,-0.0293,0.2247
0.6976,-0.0049,0.2120
0.6771,0.0821,0.0743
0.6869,0.1485,-0.0147
0.7318,0.1983,-0.0801
0.8784,0.2423,-0.1036
0.9399,0.2970,-0.1446
0.9057,0.3459,-0.1387
0.7992,0.3810,-0.1387
0.7240,0.4416,-0.2159
0.8363,0.5110,-0.2804
0.8100,0.5598,-0.3058
0.6898,0.5804,-0.2863
0.6106,0.6351,-0.3293
0.6566,0.7289,-0.3097
0.5774,0.7758,-0.3039
0.5022,0.8207,-0.2892
0.4680,0.8666,-0.2745
0.4035,0.9282,-0.2726
0.3869,1.0093,-0.2443
0.3947,1.1128,-0.2658
0.3869,1.1812,-0.2833
0.3429,1.1930,-0.2394
0.3439,1.2145,-0.1847
0.3937,1.2076,-0.1944
0.3928,1.1402,-0.2785
0.3674,1.1197,-0.3351
0.3322,1.1041,-0.3156
0.3224,1.0660,-0.2755
0.3127,1.0415,-0.2638
0.2980,1.0093,-0.2667
0.2921,0.9868,-0.2853
0.2697,0.9624,-0.3058
0.2325,0.9575,-0.3302
0.2159,0.8862,-0.2980
0.2794,0.8530,-0.3078
0.3175,0.8852,-0.3341
0.3293,0.9761,-0.3840
0.3058,0.9155,-0.3332
0.2833,0.8696,-0.3146
0.2618,0.9380,-0.3078
0.2325,0.9380,-0.3107
0.2277,0.9340,-0.3068
0.2052,0.9458,-0.2951
0.1798,0.8989,-0.2267
0.1954,0.9077,-0.2169
0.1817,0.8764,-0.1993
0.1983,0.8940,-0.1788
0.2189,0.8911,-0.1593
0.2423,0.8901,-0.1749
0.2052,0.8705,-0.1720
0.2169,0.8588,-0.1475
0.2169,0.8803,-0.1417
0.2296,0.9477,-0.1505
0.2042,0.9985,-0.1681
0.1681,0.9428,-0.1632
0.2022,0.9692,-0.2159
0.1495,0.9692,-0.1886
0.1231,0.9223,-0.1299
0.1553,0.8539,-0.1710
0.1886,0.8617,-0.2413
0.1788,0.9165,-0.2384
