x,y,z
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.5296,-0.0186,-0.8989
0.5296,-0.0225,-0.8754
0.5198,-0.0352,-0.8539
0.5305,-0.0362,-0.8481
0.5120,-0.0156,-0.8832
0.4954,-0.0127,-0.8735
0.5051,-0.0137,-0.8735
0.5335,-0.0176,-0.8588
0.5413,-0.0234,-0.8344
0.5481,-0.0225,-0.8363
0.5471,-0.0059,-0.8481
0.6077,0.0059,-0.8305
0.6321,-0.0254,-0.8168
0.6341,-0.0029,-0.8041
0.6380,-0.0186,-0.7943
0.6263,0.0068,-0.8197
0.6312,0.0059,-0.8129
0.6429,-0.0078,-0.7943
0.6243,-0.0166,-0.8080
0.6146,-0.0117,-0.8119
0.5999,-0.0107,-0.8217
0.5901,-0.0137,-0.8188
0.5794,-0.0274,-0.8217
0.5677,-0.0166,-0.8334
0.5413,-0.0127,-0.8471
0.5344,-0.0068,-0.8471
0.5559,-0.0283,-0.8266
0.5774,-0.0098,-0.8549
0.5364,-0.0147,-0.8461
0.5686,-0.0088,-0.8539
0.5511,-0.0215,-0.8520
0.5217,-0.0147,-0.8569
0.5276,-0.0137,-0.8647
0.5090,-0.0166,-0.8686
0.5208,-0.0186,-0.8617
0.5393,-0.0205,-0.8559
0.5169,-0.0186,-0.8686
0.5120,-0.0147,-0.8735
0.4924,-0.0117,-0.8764
0.5325,-0.0205,-0.8686
0.5178,-0.0156,-0.8745
0.4827,-0.0137,-0.8813
0.5042,-0.0156,-0.8813
0.5129,-0.0205,-0.8793
0.4885,-0.0137,-0.8823
0.4954,-0.0166,-0.8803
0.4944,-0.0205,-0.8754
0.4758,-0.0078,-0.8979
0.4602,-0.0039,-0.8979
0.4846,-0.0068,-0.8813
0.4875,-0.0117,-0.8793
0.4895,-0.0078,-0.8901
0.4680,-0.0107,-0.8803
0.4436,-0.0137,-0.8803
0.4563,-0.0107,-0.8764
0.4885,-0.0117,-0.8774
0.5647,-0.0010,-0.8686
0.6351,-0.0322,-0.8285
0.6820,-0.0342,-0.8080
0.6331,-0.0303,-0.8178
0.5344,-0.0098,-0.8461
0.5305,-0.0059,-0.8539
0.5110,-0.0147,-0.8383
0.5286,-0.0039,-0.8549
0.5462,-0.0049,-0.8383
0.5452,-0.0098,-0.8246
0.5999,-0.0137,-0.8197
0.6390,-0.0088,-0.8139
0.7123,0.0039,-0.7748
0.6341,-0.0156,-0.7914
0.6595,-0.0225,-0.7797
0.6536,-0.0020,-0.8217
0.5892,0.0254,-0.8403
0.5569,-0.0059,-0.8256
0.5843,-0.0039,-0.8236
0.5823,-0.0020,-0.8461
0.5823,-0.0029,-0.8461
0.5481,0.0000,-0.8657
0.5862,0.0039,-0.8657
0.6234,-0.0205,-0.8637
0.5657,-0.0791,-0.8471
0.4934,-0.0186,-0.8578
0.4563,-0.0616,-0.8432
0.4621,-0.0371,-0.8696
0.4358,-0.0479,-0.8608
0.4436,-0.0381,-0.8676
0.4866,-0.0391,-0.8784
0.5081,-0.0508,-0.8920
0.5217,-0.0362,-0.9194
0.5022,-0.0674,-0.8930
0.4494,-0.0362,-0.8881
0.4856,-0.0254,-0.8940
0.4621,-0.0430,-0.9135
0.4778,-0.0303,-0.9145
0.4416,-0.0459,-0.8969
0.4367,-0.0528,-0.9057
0.4348,-0.0440,-0.9106
0.4651,-0.0567,-0.8959
0.4133,-0.0381,-0.9135
0.3762,-0.0322,-0.8999
0.3644,-0.0557,-0.9204
0.4573,-0.0664,-0.9165
0.4895,-0.0938,-0.8862
0.4748,-0.0860,-0.9155
0.4533,-0.0352,-0.9477
0.4358,-0.0352,-0.9595
0.4094,-0.0264,-0.9595
0.3566,-0.0401,-0.9399
0.3693,-0.0469,-0.9458
0.4055,-0.0352,-0.9614
0.4025,-0.0518,-0.9389
0.3449,-0.0762,-0.9331
0.3400,-0.0449,-0.9712
0.3781,-0.0664,-0.9643
0.3019,-0.0772,-0.9458
0.2667,-0.0703,-0.9604
0.2902,-0.0635,-0.9761
0.2951,-0.0733,-0.9614
0.2755,-0.0879,-0.9360
0.2892,-0.0879,-0.9575
0.3058,-0.0782,-0.9770
0.2716,-0.0694,-0.9673
0.2423,-0.0801,-0.9389
0.2765,-0.0655,-0.9702
0.3439,-0.0606,-0.9976
0.3195,-0.0586,-0.9624
0.3312,-0.0782,-0.9477
0.3850,-0.0694,-0.9604
0.3889,-0.0537,-0.9731
0.3547,-0.0479,-0.9643
0.3371,-0.0557,-0.9468
0.3635,-0.0537,-0.9507
0.3967,-0.0469,-0.9604
0.3527,-0.0430,-0.9604
0.3410,-0.0498,-0.9536
0.3683,-0.0508,-0.9438
0.3527,-0.0430,-0.9526
0.3781,-0.0430,-0.9585
0.3830,-0.0528,-0.9458
0.3977,-0.0469,-0.9526
0.3390,-0.0430,-0.9516
0.3312,-0.0420,-0.9497
0.3341,-0.0479,-0.9468
